word	group_known
años	False
vida	True
país	True
año	True
mundo	True
presidente	True
caso	True
forma	True
millones	False
hombre	True
nacional	True
política	True
partido	True
grupo	True
frente	True
personas	True
mujer	True
ciudad	True
social	True
sistema	True
historia	True
punto	True
noche	True
situación	True
tipo	True
agua	True
países	False
ley	True
proceso	True
mano	True
cambio	True
importante	True
realidad	True
desarrollo	True
sociedad	True
centro	True
número	True
cuerpo	True
gente	True
siglo	True
guerra	True
obra	True
padre	True
ojos	True
don	False
pueblo	True
muerte	True
público	True
problemas	True
mañana	True
madre	True
nombre	True
meses	False
hombres	True
derecho	False
problema	True
cabeza	True
hora	True
ministro	True
información	True
señor	True
mujeres	True
tierra	True
director	True
pesetas	False
manos	True
llegar	True
cosa	True
familia	True
equipo	True
casos	True
falta	True
seguridad	True
nivel	True
voz	True
iba	False
semana	True
mayoría	True
español	True
luz	True
orden	True
político	True
proyecto	True
mercado	True
internacional	True
paso	True
empresa	True
policía	True
palabras	True
fuerza	True
puesto	True
puerta	True
comisión	True
programa	True
española	False
real	True
único	True
acción	True
libro	True
interior	True
condiciones	True
calle	True
obras	True
capital	True
música	True
dios	True
fondo	True
persona	True
dinero	True
hijo	True
zona	True
tema	True
razón	True
camino	True
papel	True
vista	True
hablar	True
presencia	True
libertad	True
especial	True
actual	True
relaciones	True
servicio	True
campo	True
relación	True
minutos	True
medios	True
producción	True
movimiento	True
idea	True
julio	True
miembros	True
interés	True
alto	False
principio	True
dirección	True
arte	True
cultura	True
empresas	True
hacía	False
visto	False
puntos	True
mes	True
sector	True
población	True
difícil	True
fuerzas	True
grupos	False
imagen	True
figura	False
futuro	True
militar	True
servicios	True
espacio	True
posibilidad	True
niños	True
económica	False
economía	True
personal	True
jefe	True
carácter	True
organización	True
central	True
actividad	True
aire	True
banco	True
prensa	True
popular	True
necesario	False
justicia	True
joven	True
comunidad	True
edad	True
políticos	True
efecto	True
pública	True
cara	True
crisis	True
decisión	True
necesidad	True
duda	True
capacidad	True
estudio	True
dólares	False
ministerio	True
defensa	True
mundial	True
televisión	True
serie	True
quiero	False
sociales	True
datos	True
base	True
investigación	True
época	True
control	True
queda	False
hijos	True
pasar	False
civil	True
salud	True
paz	True
juego	True
presente	True
niño	True
resultados	True
educación	True
derechos	True
resultado	True
conjunto	True
recursos	True
atención	True
allá	True
izquierda	True
partidos	True
importancia	True
contrario	True
menor	True
pasa	False
resto	True
gracias	True
administración	True
palabra	True
seguir	False
salir	True
fuerte	True
causa	True
calidad	True
medida	True
elecciones	True
secretario	True
silencio	True
comunicación	True
libre	True
fuentes	True
parecía	False
oficial	True
cine	True
mesa	True
cabo	True
españoles	True
naturaleza	True
apoyo	True
importantes	False
común	True
económico	True
principal	True
sol	True
decía	False
energía	True
mar	True
clase	True
dejar	True
especialmente	False
experiencia	True
cantidad	True
jóvenes	True
objeto	True
rey	True
opinión	True
función	True
estudios	False
superior	True
posición	True
única	True
reunión	True
color	True
respuesta	True
trabajadores	True
radio	True
viejo	True
alta	False
sangre	True
evitar	True
elementos	True
resulta	True
partes	True
pensar	True
suelo	True
lucha	True
actividades	True
origen	True
ejército	True
boca	True
medidas	True
cargo	True
américa	True
tomar	True
autoridades	True
autor	True
hechos	True
precisamente	False
pie	True
existencia	True
ayuda	True
productos	True
régimen	False
objetivo	True
teatro	True
políticas	False
sabía	True
línea	True
quería	False
crecimiento	True
acciones	False
encuentro	True
muestra	False
natural	True
compañía	True
derecha	True
carta	True
seguro	True
momentos	True
amigos	True
artículo	True
acto	True
doctor	True
amigo	True
viene	False
formas	True
consecuencia	True
región	True
cuarto	True
ve	False
campaña	True
diario	True
norte	True
metros	False
argentina	False
deja	False
éxito	True
ambiente	True
tiempos	False
actitud	True
escuela	True
especie	True
participación	True
domingo	True
formación	True
finalmente	True
permite	True
blanco	True
marcha	False
baja	False
río	True
principales	True
espera	True
mitad	True
juez	True
sur	True
entrada	True
grande	True
cuadro	True
vivir	True
miedo	True
cambios	True
enfermedad	True
valores	True
llegado	True
mayo	True
estructura	True
negro	True
acerca	False
mira	False
ideas	True
expresión	True
santa	True
construcción	True
análisis	True
peso	True
padres	True
fácil	True
conocimiento	True
pequeño	True
tratamiento	True
democracia	True
materia	True
humanos	True
corazón	True
fecha	True
mayores	True
cuestión	True
unidad	True
diferencia	True
plazo	True
vino	True
período	True
llega	False
texto	True
efectos	True
señora	True
práctica	True
volvió	True
informe	True
puerto	True
cultural	True
socialista	True
oposición	True
carrera	True
tribunal	True
industria	True
pese	False
médico	True
volver	True
asunto	True
mirada	True
exterior	True
llamado	False
favor	False
produce	False
libros	False
enero	True
conciencia	True
atrás	True
mantener	True
cámara	True
modelo	True
electoral	True
sectores	True
diciembre	True
fuego	True
distintos	False
intereses	False
salida	True
técnica	True
ocasión	True
fiscal	True
mejores	False
comercio	True
creación	True
solución	True
vuelta	False
entrar	True
suerte	True
razones	True
aumento	True
pasó	False
principios	True
militares	True
sala	True
humano	True
ocasiones	True
revolución	True
reforma	True
precio	True
características	True
voluntad	True
aspectos	True
recuerdo	True
puso	True
capaz	True
juicio	True
encontrar	True
película	True
programas	False
zonas	True
hija	True
asimismo	False
memoria	True
prueba	True
primeras	False
junio	True
sueño	True
contenido	True
operación	True
título	True
octubre	True
cama	True
toma	False
fútbol	True
posibilidades	True
esfuerzo	True
asociación	True
temas	True
particular	True
producto	True
aspecto	True
vio	False
muerto	True
marco	False
local	True
etapa	True
pequeña	False
corte	True
profesional	True
violencia	True
armas	True
dolor	True
pone	False
ciencia	True
precios	True
presenta	False
llama	True
centros	False
pregunta	True
generales	True
jamás	True
visita	True
victoria	True
suficiente	True
semanas	False
vía	True
riesgo	True
propuesta	True
vuelve	False
busca	True
consumo	True
aparece	True
área	True
siguientes	True
grado	True
tipos	True
encuentran	False
estilo	True
concepto	True
instituciones	False
cielo	True
carne	True
instituto	True
larga	False
material	True
perdido	True
comenzó	True
deseo	True
hermano	True
lenguaje	True
dije	False
cree	False
líder	True
oro	True
humana	True
abril	True
términos	True
