word	definition	predicted_words
acelguilla	blandón de la madera	blandón blandón de la madera
acelguilla	la palabra _ significa en españa y perú una hierba o árbol de la familia de las polypodiaceae, que puede vivir sobre superficies de piedra, en lugares fríos y sombreados de la montaña. se le encuentra principalmente en el noroeste de españa.	la palabra helecho en español se refiere a una hierba o árbol de la familia de las polypodiaceae, que puede vivir sobre superficies de piedra, en lugares fríos y sombreados de la montaña. se le encuentra principalmente en el noroeste de españa.
acelguilla	planta herbácea acuática, de poca altura y con hojas de color verde oscuro que crece flotando y también entre piedras del agua. es una especie de las llamadas _, que forman parte de la misma especie que la acelga común o rubeta. es autóctona de la península ibérica y del norte de áfrica.	la planta herbácea acuática que se menciona en la definición es la _rumex aquatica_, también conocida como acelga de agua o acelga flotante. es una especie de acelga que crece flotando en el agua y también entre las piedras del río. es autóctona de la península ibérica y del norte de áfrica.
acelguilla	_ es un término utilizado en algunas regiones de la península ibérica y en colombia para referirse a una variedad de plantas de hojas pequeñas y suaves, utilizadas comúnmente en ensaladas.	la lechuga es una planta de hojas pequeñas y suaves que se utiliza comúnmente en ensaladas.
acelguilla	la palabra _ se refiere a una planta herbácea de la familia de las polygonáceas. es originaria de regiones montañosas del este de norteamérica y se caracteriza por sus tallos leñosos y sus hojas opuestas y aovadas, con un sabor ligeramente ácido. su nombre común, acelga de monte, se deriva de su parecido con la acelga. las hojas y los tallos de la _ son comestibles y	acelga de monte
agüista	individuo que practica un programa curativo o preventivo de aguas medicinales.	la palabra hidroterapia se refiere a un programa curativo o preventivo de aguas medicinales.
agüista	una persona que sigue un régimen de aguas medicinales para tratar o prevenir una enfermedad o para mantenerse saludable.	terapia terapia terapia terapia terapia terapia terapia terapia terapia terapia
agüista	persona que consume agua por supuesta virtud aplicable a la salud del organismo humano.	la persona que consume agua por supuesta virtud aplicable a la salud del organismo humano es un bebedor de agua.
agüista	uno que repara en su salud	paciente enfermo doctor
agüista	el término “_” describe a una persona que sigue una determinada terapia que incluye tomar el mineral de agua salida del manantial que sale de la tierra naturalmente.	el término geoterapia describe a una persona que sigue una determinada terapia que incluye tomar el mineral de agua salida del manantial que sale de la tierra naturalmente.
antidiarreico	_ es un fármaco que suprime, aminora, alivia, controla o previene la diarrea.	loperamida loperamida loperamida loperamida loperamida loperamida loperamida loperamida loperamida loperamida
antidiarreico	un _ es un fármaco utilizado para reducir o prevenir la diarrea causada por enfermedades infecciosas, como infecciones gastrointestinales. ayuda a reducir la frecuencia y gravedad de los movimientos intestinales y puede mejorar los síntomas asociados, como la deshidratación. estos medicamentos suelen contener sustancias que trabaj	los medicamentos que contienen sustancias que trabajan como antidiarreicos son los antiespasmódicos, los antimotilidad y los antisecretorios.
antidiarreico	"palabra - _
definición - que atempera o cura las diarreas. la sustancia es un agente antipirético anticatarral, antienfisémico; es eficaz en las afecciones reumáticas agudas e infecciones gastrointestinales, especialmente para los procesos catarrales del intestino grueso y en el tratamiento de la disentería y la diarrea."	la palabra antidiarreico se refiere a un medicamento que se utiliza para tratar o prevenir la diarrea. es un agente antipirético, anticatarral y antienfisémico, y se utiliza en el tratamiento de afecciones reumáticas agudas y en infecciones gastrointestinales, especialmente en procesos catarrales del intestino grueso y en el tratamiento de la disentería y la diarrea.
antidiarreico	el término _ se refiere a una sustancia o tratamiento que tiene la capacidad de inhibir o reducir la diarrea. esta condición puede ser causada por una gran variedad de factores y, en consecuencia, existen numerosos agentes _ que actúan a través de mecanismos de acción específicos. en el contexto de la disentería causada por una infección, los remedios _ pueden ser agentes como los antibióticos	antibiótico agente antidiarreico
antidiarreico	un _ es un medicamento que se usa para tratar la diarrea. es común en países subdesarrollados que no tengan acceso a agua potable o se pueda disponer de agua tratada para eliminar los microorganismos que pueden causar la diarrea. los _ pueden producir efectos secundarios como dolores de cabeza, mareos y náuseas.	los _ son medicamentos que se utilizan para tratar la diarrea. son comunes en países subdesarrollados que no tienen acceso a agua potable o se pueden disponer de agua tratada para eliminar los microorganismos que pueden causar la diarrea. los _ pueden producir efectos secundarios como dolores de cabeza, mareos y náuseas.
apealar	la palabra apelar significa presentar una apelación, invocar formalmente a alguien para que revea su anterior decisión. es un sustantivo y se utiliza principalmente en el ámbito legal. a nivel coloquial, también se puede utilizar para describir un razonamiento con objeciones legales o una acción que se considera que se aparta de la ley.	la palabra apelar es un sustantivo y se utiliza principalmente en el ámbito legal. a nivel coloquial, también se puede utilizar para describir un razonamiento con objeciones legales o una acción que se considera que se aparta de la ley.
apealar	recurrir ante un tribunal superior o pedir que se modifique una decisión mediante la presentación de un recurso o un recurso de súplica en un tribunal o en otro cuerpo judicial.	recurso súplica
apealar	una palabra de origen inglés que lleva más de 150 años en el idioma. es una palabra del inglés antiguo æpēla 'súplica, ruegos', y del latín 'súplica', que en latín se utiliza como apelación ante un tribunal. en español equivale a 'reclamar' o 'rebatir'. por lo que es un sinónimo del término '	reclamar rebatir
apealar	tratar de convencer a alguien, por lo general presentando pruebas o haciendo argumentos en su favor. (sin derivados directos o familia léxica)	argumentar convencer persuadir
apealar	solicitación de alguien o algo por el poder de su autoridad o excelente capacidad para abordar o solucionar problemas presentes.	mandato autoridad excelente capacidad solicitación problemas presentes
apparat	enfocarse en detalles de producción y artísticos en el estudio de grabación de la música para crear un sonido único y de gran calidad.	producción artístico estudio grabación música calidad detalle
apparat	(del lat. apparatus, utensilio, implemento) m. conjunto o conjuntos de medios que se utilizan en una actividad determinada, especialmente científica o profesional	equipo equipaje equipamiento
apparat	mueble o dispositivo utilizado fundamentalmente en un laboratorio para llevar a cabo experimentos o actividades de investigación	mesa de laboratorio mesa de trabajo mesa de experimentación
apparat	una palabra en ruso que significa 'organización'. se ha utilizado para referirse a muchas organizaciones de la unión soviética que llevaban a cabo actividades de espionaje en otros países. a veces se ha traducido al inglés como 'oficina', 'servicio' o 'organización'.	la palabra rusa служба (sluzhba) se traduce al inglés como organization, office, service o agency. se ha utilizado para referirse a muchas organizaciones de la unión soviética que llevaban a cabo actividades de espionaje en otros países.
apparat	el aparat fue una organización de inteligencia comunista secreta, establecida como el primer buró del comintern en 1919, con sede en berlín durante varios años. inicialmente, su cometido era organizar la revolución mundial y promover el comunismo en el mundo, especialmente en europa. su primer director general fue el ruso felix dzherjinski, y su primera sede se estableció en berlín en la mauerstrasse 14, antigua embajada de rusia en alemania.	comintern felix dzherjinski mauerstrasse 14
arante	'(s. cat. cerdanyola del vallès) f. m. pl. ayuntamiento de esta localidad de la provincia de barcelona, en españa'	cerdanyola del vallès cerdanyola del vallès cerdanyola del vallès cerdanyola del vallès cerdanyola del vallès cerdanyola del vallès cerdanyola del vallès cerdanyola del vallès cerdanyola del vallès cerdanyola del vallès
arante	arente es considerada una palabra arcaica que podría haber surgido como un sinónimo de abuela. según una entrada en la obra nomenclatura de las indias de 1576, _ significa abuela. sin embargo, la etimología exacta de abuela se ha discutido durante mucho tiempo y algunos académicos sitúan el origen del término en la lengua protoindia. por lo tanto, es importante consultar fuentes fiables y aplicar un	la palabra abuela es un término que se utiliza para referirse a la madre de la madre de una persona. la etimología de la palabra es incierta, pero algunos académicos sugieren que podría tener su origen en la lengua protoindia. sin embargo, la palabra abuela también se utiliza como un término arcaico en algunas partes del mundo, como en la lengua española, donde se utiliza la palabra arenta para referirse
arante	la palabra _ es un adjetivo que significa que está a punto de abrir y también se puede utilizar como sustantivo y adverbio. además, se puede utilizar como sustantivo para referirse a un alerce.	la palabra abierto es un adjetivo que significa que está a punto de abrir y también se puede utilizar como sustantivo y adverbio. además, se puede utilizar como sustantivo para referirse a un alerce.
arante	técnica de hilado que consiste en separar una serie de hebras de los hilos o fibras sin desgastar las demás, dejándolas entrelazadas para formar un encaje. esta técnica permite la realización de diferentes tipos de tejidos, desde muy finos y ligeros, como la muselina, hasta más fuertes como el terciopelo. generalmente, los hilos de la trama y	encaje hilado muselina terciopelo
