word;pred_definition;pred_words;known
acelguilla;Planta de la familia de las solanáceas, cuyas hojas y frutos son comestibles y se utilizan en la cocina, especialmente en la elaboración de guisos y estofados.;Pepino, pimiento, tomate, berenjena, ajo, cebolla, calabacín, chile, ají.;False
agüista;Persona que se encarga de la gestión y distribución de un líquido, especialmente agua, en un lugar determinado, como una ciudad o un pueblo, y que se ocupa de la construcción y mantenimiento de los sistemas de riego y abastecimiento de agua.;Alcalde, alcotán, regidor, administrador, ingeniero de aguas, jefe de abastecimiento, director de riego, responsable de suministro de agua, gerente de servicios públicos.;False
antidiarreico;Medicamento o sustancia que se utiliza para tratar y prevenir la diarrea, reduciendo la frecuencia y la consistencia de las deposiciones y aliviando los síntomas asociados con esta condición gastrointestinal.;Antidiarreico, laxante, antiinflamatorio, antibiótico, antiparasitario, astringente, opio, loperamida, metilcelulosa, bismuto.;True
apealar;Acción de manifestar una relación de parentesco o parentesco ficticio, a menudo con el fin de establecer una conexión o una alianza.;Afiliación, adopción, apadrinamiento, patrocinio, patronazgo, parentesco, afinidad, amistad, alianza, solidaridad.;False
apparat;Sistema o conjunto de elementos que se utilizan para realizar una función o tarea específica, generalmente de manera mecánica o automática, y que puede ser complejo y multifacético.;Mecanismo, maquinaria, equipo, dispositivo, sistema, complejo, automatismo, ingenio, máquina, herramienta.;False
arante;Persona que se encarga de realizar tareas administrativas y de apoyo en una oficina o empresa, generalmente de manera auxiliar o secundaria.;Auxiliar, secretaria, asistente, administrativa, oficinista, auxiliar administrativo, ayudante, colaboradora, empleada administrativa.;False
ardilla;Pequeño mamífero roedor, con cola larga y patas cortas, que vive en árboles y se alimenta de frutos, semillas y hojas. Es conocido por su habilidad para subir y bajar por los troncos y ramas de los árboles con gran agilidad y rapidez.;Arbóreo, agil, saltamontes, ardilla, marmota, esquilo, ardilla voladora, lirón, marmotillo.;True
bátavo;Un término que se refiere a una persona que pertenece a una región o región histórica específica, conocida por su riqueza y su influencia en la cultura y la política de un país. Esta región se caracteriza por su riqueza en recursos naturales y su posición estratégica en la historia de un país.;Catalán, vasco, gallego, asturiano, andaluz, valenciano, aragonés, navarro, extremeño, castellano, leonés, gallego, portugués, alemán, bávaro, suizo, helvético, suabo, alemán, austriaco, bohemio, checo, eslovaco, húngaro, rumano, rutenio, polaco, lituano, leton, estonio, finlandés, sueco, danés, noruego, islandés, ir;False
bicicross;Modalidad de competición de ciclismo que combina elementos de ciclismo de montaña y de pista, en la que los corredores deben superar obstáculos y realizar maniobras en un recorrido que combina tramos de tierra, asfalto y otros materiales.;Ciclismo de trial, ciclocross, mountain bike, BMX, enduro, downhill.;False
bifocal;Dispositivo óptico que permite a una persona ver con claridad tanto objetos cercanos como lejanos, mediante la utilización de dos lentes con diferentes poderes de corrección, una para la visión próxima y otra para la visión distante, que se combinan en un solo marco.;Gafas bifocales, lentes bifocales, anteojos bifocales, monocle, binoculares, prismáticos.;True
cantautor;Artista musical que compone y canta sus propias canciones, a menudo con un enfoque en la poesía y la narrativa, y que puede tocar instrumentos o acompañarse con otros músicos en vivo o en grabaciones.;Músico, cantautor, compositor, trovador, poeta cantor, intérprete, artista, performer.;True
cantinero;Persona encargada de atender y servir bebidas y comidas en un establecimiento de entretenimiento, como un bar o un restaurante, y que se caracteriza por su habilidad para mezclar y preparar diferentes tipos de bebidas y su capacidad para interactuar con los clientes de manera amable y eficiente.;Barman, bartender, camarero, mesero, mozo, servidor, sommelier, mixólogo, barista.;False
cartulina;Material flexible y ligero, generalmente de color blanco o transparente, utilizado para escribir o dibujar, y a menudo utilizado para crear objetos decorativos o de uso práctico, como tarjetas, etiquetas o pequeños objetos de oficina.;Papel, cartulina, papel de seda, papel crepé, papel kraft, papel transparente, papel de hilo, papel de colores.;True
centavo;Moneda de baja valor, utilizada como unidad monetaria en algunos países, que se considera una fracción de la moneda de curso legal.;Centavo, céntimo, décimo, quinto, real, peseta, lira, escudo, centésimo.;True
cerebrotónico;Sustancia química que se encuentra en el cerebro y que regula el ritmo del sueño y la vigilia, produciendo efectos sobre la conciencia y la actividad cerebral.;Seroetonina, melatonina, adenosina, dopamina, norepinefrina, histamina.;False
chalaza;Estructura anatómica que se encuentra en algunos órganos reproductivos de las plantas, como el fruto, y que está formada por tejido fibroso y vascular que rodea el núcleo del fruto y lo mantiene unido al pedúnculo.;Pericarpio, exocarpio, mesocarpio, endocarpio, epicarpio, peridermis, tegumento.;False
chigüire;Animal grande y carnívoro, con una piel oscura y un hocico puntiagudo, que habita en zonas boscosas y pantanosas de América del Sur.;Puma, jaguar, oso hormiguero, tigre, león, gato montés, jaguarundi.;False
coliseo;Edificio monumental y emblemático, diseñado para albergar espectáculos y eventos públicos, como luchas de gladiadores, conciertos y representaciones teatrales, en la antigua Roma y en otros lugares, y que se caracteriza por su arquitectura grandiosa y su capacidad para acomodar a grandes multitudes.;Amfiteatro, anfiteatro romano, circo, teatro, arena, estadio, odeón, teatro romano, coliseo.;True
conspirar;Acción de planificar y llevar a cabo un plan secreto o oculto, con el fin de lograr un objetivo o alcanzar un propósito, a menudo con intenciones malintencionadas o peligrosas.;Conspirar, trampear, conspiración, complot, maquinación, intrigar, urdir, tramar, conspirativamente, maquinar.;True
corbata;Accesorio masculino que se coloca alrededor del cuello, generalmente hecha de tela o seda, y que se utiliza como parte de la indumentaria formal o informal en ciertos contextos sociales y laborales.;Cuello, corbata, lazo, pañuelo, foulard, ascot, cravate, necktie.;True
corralero;Persona que se encarga de cuidar y manejar un conjunto de animales, especialmente caballos, en un lugar específico, como una granja o establo.;Mozo, mayoral, encargado, cuidador, estabulero, caballerizo, ganadero, vaquero, pastor.;False
cosmotrón;Máquina que utiliza campos magnéticos y eléctricos para acelerar partículas subatómicas a velocidades cercanas a la velocidad de la luz, permitiendo el estudio de la estructura y la composición de la materia y la energía en condiciones extremas.;Colisionador, acelerador, sincrotrón, ciclotrón, partícula, detector, espectrómetro, fisión, fisionador, reactor.;False
crístico;Concepto que se refiere a la relación entre la fe y la razón, en el que se busca demostrar la veracidad de una creencia o dogma a través de la lógica y la argumentación.;Racionalismo, empirismo, teodicea, apologética, dialéctica, filosofía de la religión, teología natural.;False
cuentapartícipe;Instrumento o herramienta utilizada para medir o registrar la cantidad de algo, como una sustancia, un material o un valor, en pequeñas unidades o partes, a menudo con el fin de controlar o registrar su uso o consumo.;Medidor, contador, pesador, medidor de flujo, medidor de volumen, medidor de temperatura, medidor de humedad, contador de pasos, contador de horas, contador de minutos, contador de segundos.;False
dabuti;"No conozco la palabra ""<WORD>"". ¿Podrías proporcionarme más contexto o información sobre su significado?";"No hay problema! La definición que me proporcionaste no parece ser una palabra específica, sino más bien una descripción de un concepto o idea. En ese caso, no puedo proporcionarte una lista de palabras que sean el origen de la definición, ya que no se trata de una palabra concreta.

Sin embargo, si me proporcionas más contexto o información sobre el concepto o idea que te interesa, puedo intentar ayudarte a encontrar la palabra que estás buscando o proporcionarte más información sobre el tema.";False
