word	group_known
años	False
vida	True
país	False
año	True
mundo	False
presidente	False
caso	False
forma	True
millones	False
hombre	False
nacional	False
política	False
partido	True
grupo	True
frente	False
personas	False
mujer	True
ciudad	True
social	False
sistema	True
historia	True
punto	True
noche	True
situación	True
tipo	True
agua	True
países	False
ley	True
proceso	True
mano	True
cambio	True
importante	True
realidad	True
desarrollo	True
sociedad	True
centro	True
número	True
cuerpo	True
gente	True
siglo	True
guerra	True
obra	True
padre	False
ojos	True
don	False
pueblo	False
muerte	True
público	False
problemas	False
mañana	True
madre	False
nombre	True
meses	False
hombres	True
derecho	False
problema	False
cabeza	False
hora	False
ministro	False
información	True
señor	False
mujeres	True
tierra	False
director	True
pesetas	False
manos	True
llegar	False
cosa	False
familia	True
equipo	True
casos	True
falta	True
seguridad	True
nivel	False
voz	False
iba	False
semana	False
mayoría	False
español	True
luz	True
orden	True
político	True
proyecto	True
mercado	True
internacional	False
paso	False
empresa	True
policía	False
palabras	False
fuerza	True
puesto	False
puerta	False
comisión	False
programa	False
española	False
real	True
único	True
acción	False
libro	False
interior	True
condiciones	True
calle	False
obras	False
capital	False
música	True
dios	False
fondo	True
persona	False
dinero	True
hijo	True
zona	False
tema	True
razón	True
camino	True
papel	True
vista	True
hablar	False
presencia	True
libertad	True
especial	False
actual	True
relaciones	False
servicio	True
campo	True
relación	True
minutos	False
medios	False
producción	True
movimiento	True
idea	True
julio	True
miembros	True
interés	True
alto	True
principio	False
dirección	False
arte	True
cultura	True
empresas	True
hacía	False
visto	False
puntos	False
mes	False
sector	True
población	True
difícil	True
fuerzas	True
grupos	False
imagen	True
figura	True
futuro	True
militar	True
servicios	True
espacio	True
posibilidad	False
niños	True
económica	True
economía	True
personal	True
jefe	True
carácter	False
organización	True
central	True
actividad	True
aire	True
banco	False
prensa	False
popular	True
necesario	False
justicia	True
joven	False
comunidad	True
edad	False
políticos	True
efecto	False
pública	False
cara	True
crisis	True
decisión	False
necesidad	True
duda	True
capacidad	True
estudio	False
dólares	False
ministerio	False
defensa	True
mundial	False
televisión	False
serie	True
quiero	False
sociales	False
datos	True
base	True
investigación	True
época	False
control	True
queda	False
hijos	True
pasar	False
civil	False
salud	True
paz	True
juego	True
presente	False
niño	False
resultados	True
educación	True
derechos	True
resultado	True
conjunto	True
recursos	False
atención	True
allá	False
izquierda	False
partidos	False
importancia	True
contrario	True
menor	False
pasa	False
resto	True
gracias	True
administración	True
palabra	True
seguir	True
salir	True
fuerte	True
causa	True
calidad	False
medida	False
elecciones	True
secretario	True
silencio	True
comunicación	True
libre	True
fuentes	True
parecía	False
oficial	False
cine	True
mesa	True
cabo	False
españoles	False
naturaleza	False
apoyo	True
importantes	False
común	True
económico	False
principal	True
sol	False
decía	False
energía	False
mar	True
clase	False
dejar	False
especialmente	False
experiencia	True
cantidad	True
jóvenes	False
objeto	False
rey	True
opinión	False
función	False
estudios	True
superior	True
posición	True
única	False
reunión	False
color	True
respuesta	True
trabajadores	False
radio	True
viejo	True
alta	False
sangre	False
evitar	False
elementos	True
resulta	False
partes	False
pensar	False
suelo	True
lucha	True
actividades	False
origen	True
ejército	True
boca	False
medidas	True
cargo	True
américa	False
tomar	False
autoridades	False
autor	True
hechos	True
precisamente	False
pie	True
existencia	True
ayuda	True
productos	True
régimen	False
objetivo	True
teatro	True
políticas	False
sabía	False
línea	True
quería	False
crecimiento	False
acciones	True
encuentro	True
muestra	False
natural	True
compañía	False
derecha	False
carta	False
seguro	True
momentos	False
amigos	False
artículo	True
acto	False
doctor	True
amigo	False
viene	False
formas	False
consecuencia	False
región	True
cuarto	False
ve	False
campaña	True
diario	True
norte	False
metros	False
argentina	False
deja	False
éxito	False
ambiente	False
tiempos	False
actitud	False
escuela	True
especie	False
participación	True
domingo	False
formación	False
finalmente	False
permite	True
blanco	True
marcha	True
baja	False
río	True
principales	False
espera	False
mitad	True
juez	False
sur	True
entrada	True
grande	False
cuadro	True
vivir	False
miedo	True
cambios	True
enfermedad	True
valores	True
llegado	False
mayo	True
estructura	True
negro	True
acerca	False
mira	False
ideas	True
expresión	False
santa	True
construcción	True
análisis	False
peso	True
padres	False
fácil	False
conocimiento	True
pequeño	True
tratamiento	True
democracia	True
materia	False
humanos	True
corazón	False
fecha	False
mayores	False
cuestión	False
unidad	False
diferencia	False
plazo	False
vino	True
período	True
llega	False
texto	True
efectos	False
señora	False
práctica	False
volvió	False
informe	False
puerto	True
cultural	False
socialista	False
oposición	True
carrera	False
tribunal	False
industria	True
pese	False
médico	True
volver	False
asunto	False
mirada	True
exterior	True
llamado	False
favor	False
produce	False
libros	False
enero	True
conciencia	True
atrás	False
mantener	False
cámara	True
modelo	True
electoral	False
sectores	False
diciembre	False
fuego	False
distintos	False
intereses	True
salida	True
técnica	True
ocasión	False
fiscal	True
mejores	False
comercio	True
creación	True
solución	False
vuelta	False
entrar	True
suerte	False
razones	True
aumento	True
pasó	False
principios	True
militares	False
sala	True
humano	True
ocasiones	False
revolución	True
reforma	False
precio	True
características	False
voluntad	False
aspectos	False
recuerdo	False
puso	False
capaz	False
juicio	True
encontrar	False
película	True
programas	False
zonas	True
hija	False
asimismo	False
memoria	True
prueba	True
primeras	True
junio	True
sueño	True
contenido	False
operación	False
título	False
octubre	True
cama	True
toma	False
fútbol	True
posibilidades	False
esfuerzo	False
asociación	False
temas	False
particular	True
producto	True
aspecto	False
vio	False
muerto	False
marco	False
local	True
etapa	False
pequeña	False
corte	False
profesional	False
violencia	False
armas	False
dolor	True
pone	False
ciencia	False
precios	False
presenta	False
llama	False
centros	False
pregunta	True
generales	False
jamás	False
visita	False
victoria	False
suficiente	False
semanas	False
vía	False
riesgo	True
propuesta	True
vuelve	False
busca	False
consumo	False
aparece	False
área	False
siguientes	False
grado	False
tipos	False
encuentran	False
estilo	False
concepto	False
instituciones	False
cielo	False
carne	True
instituto	True
larga	True
material	True
perdido	False
comenzó	False
deseo	True
hermano	True
lenguaje	False
dije	False
cree	False
líder	True
oro	True
humana	False
abril	True
términos	False
