word	definition	predicted_words
acelguilla	capa ornamental de tela blanca con agujeros o aberturas, que se suele colocar encima de una camisa para proporcionar suficiente cubrimiento durante los inviernos en los países del norte y en los altiplanos de los países del sur. también se usa como parte del uniforme de los profesionistas de algunas actividades.	capuchón capa abrigo jacket vestido
acelguilla	small, flat, rectangular wooden plate with a round depression in the center, used to hold a corkscrew or a knife.	cuchillo cuchillera cuchillillo
acelguilla	una pequeña estructura de madera con una pizarra o tabla de madera debajo de un tejado de planchas de madera o cerámica, donde se acablan las tijeras de colores y tallan al acabar el corte.	cortador tijeras pizarra tabla madera plancha cerámica acabar corte
acelguilla	marea de agua que se desplaza por la superficie del mar, en forma alargada o lineal, con una cresta superior y una boca inferior, causada por el desplazamiento de la misma en dirección al oeste o noreste.	onda, oliva, oliva marina, oliva de mar, oliva de marina de agua, oliva de marina de agua en forma alargada, oliva de marina de agua en forma lineal, oliva de marina de agua con una cresta superior y una boca inferior, oliva de marina de agua con una cresta superior y una boca inferior causada por el desplazamiento de la misma en dirección al oeste o noreste
acelguilla	la _ es una planta cuyo pino leñoso es comestible y usado como condimento en cocinas.	ají ají amarillo ají negro
agüista	la palabra '_' se refiere al practicante de agüismo, una teoría que sostiene la posibilidad de la comunicación no verbal con las aguas.	agüismo agua comunicación
agüista	dedicado al cultivo del agua o de plantas en las que agua es necesaria.	agricultura horticultura irrigación
agüista	una persona que disfruta de la agua y de los actividades relacionadas al agua	aquafilósofo hidrólogo oceanógrafo
agüista	persona que se interesa por todo lo relacionado con el agua, y que lleva una vida en torno al mar.	marinero navegante buceo
agüista	persona que se dedica a recolectar agua de todo tipo para uso puro, industrial o de regadío.	agua, agua potable, agua de regadío, agua de uso puro, agua industrial, agua de consumo, agua de bebeder, agua de uso doméstico, agua de uso industrial, agua de uso doméstico, agua de uso industrial, agua de uso doméstico, agua de uso industrial, agua de uso doméstico, agua de uso industrial, agua de uso dom
antidiarreico	medicamento o preparado para prevenir o evitar el diarреo.	antidiarreico antidiarrheico diarreotrópico
antidiarreico	medicamento que previene o allevia los síntomas de diarrea, por lo general en dosis más altas y con efectos secundarios más frecuentes	antidiarético, antidiarético de acción rápida, antidiarético de acción lenta, antidiarético de acción intermedia, antidiarético de acción prolongada, antidiarético de acción suave, antidiarético de acción fuerte, antidiarético de acción moderada, antidiarético de acción suave, antidiarético de acción fuerte, antidiarético de acción intermedia, ant
antidiarreico	medicamento que alivia los síntomas del diarrea	antidiarreico medicamento antidiarreico fármaco antidiarreico
antidiarreico	médico: acción de prevenir o tratar la diarrea, una enfermedad que causa una gran cantidad de náusea y dejaduras	medicina tratamiento prevención diarrea enfermedad náusea dejaduras
antidiarreico	algún medicamento o remedio que alivia los síntomas de diarrea o reacciones adversas.	antidiarreico antiemético antipirético
apealar	captivar el favor o interés de alguien, especialmente en lo concerniente a comprar ciertos productos	atrapar encantar seducir ganar conquistar persuadir encantar seducir ganar conquistar persuadir
apealar	hacer que alguien se sienta atraído hacia algo, ya sea por su apariencia, su aroma, sus razones o cualquier otra atracción que lo haga desearlo.	atrapar encantar seducir engañar encantar seducir engañar
apealar	to attract or charm someone with words or actions	seducir encantar engañar seducir encantar engañar
apealar	hacer aparecer o manifestarse algo u alguien con armonía o encanto, atraer o seducir por su belleza o gracia.	seducir atractir encantar armónico belleza gracia
apealar	to make an appearance or come into view; to become visible; to come into existence or become actual.	aparecer, mostrar, manifestarse, aparecerse, emerger, aparecer en la vista, aparecer en la escena, aparecer en la superficie, aparecer en la pantalla, aparecer en la imagen, aparecer en la vista de un ojo, aparecer en la vista de un espectador, aparecer en la vista de un observador, aparecer en la vista de un espectador en v
apparat	un dispositivo o equipo, particularmente una herramienta manual, utilizado para realizar una determinada tarea o operación	herramienta dispositivo equipo aparato instrumento utensilio taller oficina estudio laboratorio
apparat	equipamiento o instrumento utilizado para realizar una determinada tarea	equipo, instrumento, herramienta, aparato, dispositivo, utensilio, equipamiento, equipo de trabajo, equipo de producción, equipo de servicio, equipo de mantenimiento, equipo de control, equipo de gestión, equipo de administración, equipo de organización, equipo de gestión de recursos, equipo de gestión de
apparat	un instrumento o equipo inventado y utilizado para llevar a cabo un determinado proceso técnico	equipo instrumento dispositivo aparato máquina apparato equipo dispositivo máquina aparato
apparat	un dispositivo o un sistema que tiene un propósito concreto para realizar una tarea, como un aparato de escritura o un equipo de computadora.	aparato equipo dispositivo sistema equipo de computadora aparato de escritura
apparat	un dispositivo o un equipo que se utiliza para realizar una determinada tarea o actividad	aparato, equipo, dispositivo, instrumento, herramienta, utensilio, técnica, máquina, apparatus, equipment, device, tool, utensil, technique, machine, apparatus, equipment, device, tool, utensil, technique, machine, apparatus, equipment, device, tool, utensil,
arante	una palabra derivada de 'arancio' que se usa para referirse al color vibrante y brillante del arancio.	arancio amarillo color
arante	estructura que separa los diferentes niveles y módulos de un videojuego	mapa nivel modulo capítulo etapa
arante	la palabra _ es un adverbio en el español que indica que cualquier acción en la que se realiza no se debería realizar de nuevo, como dejan de interés o de ser necesarios.	una vez solo nunca por última vez por primera vez
arante	refiere a una persona que se dedica a la fotografía profesionalmente y vende sus trabajos o realiza exhibiciones.	fotógrafo fotógrafa fotógrafo profesional fotógrafa profesional fotógrafo de profesión fotógrafa de profesión
arante	algo que no puede ser visto o conocido	misterio enigma misteria
ardilla	vulpido de pequeñas dimensiones, perteneciente al género mustela, caracterizado por su color negro, el fur, su trústa, y su agility.	puma puma negra puma negra pequeña puma negra pequeña trústa puma negra pequeña agil
ardilla	con muchos cuerpos de mamíferos arbóreos y un tamaño de 5 a 30 cm que son muy apio, están adaptados de diversas maneras para la vida arbórea, en particular para el aclamiento al árbol de su alimento, tales como las _ de árbol.	ramas ramos ramas
ardilla	especial carnivora leposa con piel gris dorsal y negra ventral, pequeña y tonta, de distribución terrestre o arbórea, que vive en los árboles y se alimenta de insectos y aves.	pajero pajero negro pajero gris pajero tonta pajero de distribución terrestre pajero de distribución arbórea pajero de insectos pajero de aves
ardilla	mamífero arboreal perteneciente a la familia mustelidae. tiene un cuerpo de poca longitud y un pelaje suave y densamente pulpar, el cual puede ser marrón, gris o negro. están adaptados para trepar árboles y sus pies están cubiertos por una membrana para desempeñar las funciones de sentido y apoyo.	puma pajero puma negra puma marrón puma gris puma arboreal puma de poca longitud puma con pelaje suave puma con pelaje densamente pulpar puma con pies cubiertos por membrana puma adaptado para trepar árboles puma con sentido y apoyo
ardilla	mammífero arbóreo del orden primates, de pequeño tamaño y distintivos pelos suaves, con una cola prensil y una dieta omnívora.	lémur tarsier loris
bátavo	un miembro de la tribu aquática _, cuyo descendantes se refieren a sí mismos como _ y que se ha extendido a brasil y colombia.	caimán caimán
bátavo	es una población indígena que hablaba el idioma _ en dos regiones de américa del sur: el río napo y las orillas meridionales del alto orinoco	quichua ayacucho orinoco
bátavo	pueblo germánico constituido en el siglo ii a. c. por tribus provenientes del sur de alemania y suiza y que se trasladó a galicia durante la dominación romana. fueron conocidos como los baídicos debido a su hábitat en las cercanías de los ríos baixo ampurán, miño y sil. se extendieron por gran parte de españa y portugal, donde fundaron ciudades como la coruña	celtas germánicos baídicos tribus ciudades la coruña
bátavo	etnia indígena de la región norte de colombia que hablaba la lengua bática. los _ se hallaban en el área de lo que hoy es la ciudad de barranquilla. algunos de su pueblo se trasladaron a la región de trujillo en costa rica.	bática indígena pueblo región costa rica barranquilla
bátavo	un personaje de la serie de animación infantil japonesa doraemon, conocido por su amable personalidad y compañía de doraemon, un robot de gato inteligente.	doraemon gatomon compañero
bicicross	rueda diseñada como un elemento de una bicicleta que es más larga que la de un coche, la cual se usa, por ejemplo, en un parque recreativo que incluye vías de tierra con eslabones o agujeros dispuestos a una cierta distancia de entre sí, con el fin de ejecutar maniobras de tipo jovenil a lo largo de ellas. también se suele denom	skateboard longboard cruiser
bicicross	porción de comida mezclada de carne y verduras que normalmente tiene forma de cruz o semicruz	hamburguesa tacos sandwich
bicicross	un modo de conducción que permite a una bicicleta seguir un seguimiento curvo o trazado	curva trazado ruta
bicicross	un ejercicio físico que consiste en el cruce de bicicletas, con el objetivo de mejorar la coordinación y flexibilidad de la espalda.	cruce de bicicletas coordinación flexibilidad espalda
bicicross	un ciclo que cruzándose se interseca en diferentes puntos	ciclo intersección cruzamiento
bifocal	relating to or incorporating two foci of attention or interest	doble dos doble atención
bifocal	a continuación se dan dos o más definiciones sin relación entre ellas y sin usar la palabra ni su familia léxica: las primeras líneas de un poema. la versión en español de una película alemana.	Definición no conocida.
bifocal	relating to or using two foci or two separate optical systems in a single lens for accommodating different distances.	dioptric, dioptricamente, dioptricamente, dioptricamente, dioptricamente, dioptricamente, dioptricamente, dioptricamente, dioptricamente, dioptricamente, dioptricamente, dioptricamente, dioptricamente, dioptricamente, dioptricamente, dioptricamente, dioptricamente, di
bifocal	relating to or having two foci, or seeing clearly both near and far objects.	dióptico binocular telescopio
bifocal	lentes de una pareja de oculos que permite el uso del ojo dominante mientras se mantiene la corrección del otras dos visiones	oculos lentes estereoscopio
cantautor	compositor y intérprete de canciones.	compositor intérprete cancionero cancionista cancionero cancionista cancionero cancionista cancionero cancionista
cantautor	un artista musical que utiliza sus propias palabras y melodías para crear canciones originales	cancionero cancionista cancionista
cantautor	individuo que crea y interpreta canciones, en general perteneciente al mundo de la música popular.	cantante musicólogo compositor
cantautor	artista musical que compone y interpreta sus propias canciones	cantante musicólogo compositor
cantautor	un artista creativo que combina la actividad de cantar con la de crear canciones originales, principalmente en el género popular.	cantautor cancionero compositor
cantinero	pesero que transporta cantidades importantes de agua para uso doméstico, industrial o en jardines.	agua cantidad doméstico industrial jardines pesero transporta
cantinero	antepasado que trabaja en una cantina o casa de comidas.	chef cocinero cocinera
cantinero	un individuo que opera una cantinería.	barman barra barrista
cantinero	persona que gestiona una cantina o restaurante y sirve drinks y comidas a los clientes	barman chef host waiter bartender server manager
cantinero	un trabajador que en un bar o ubicación similar sirve bebidas y comidas en un estilo informal.	barman barraza barrista
cartulina	folio de papel que se utiliza para escribir o grabar algo, especialmente una información importante.	libro nota documento
cartulina	hojilla de papel muy gruesa, generalmente cuadrada o rectangular, empleada para la escritura y la ilustración, y en algunos casos para la fabricación de todo tipo de artículos grabados y impresos. en la mayoría de los casos, la cartolina es muy dura y duradera y puede ser utilizada, se desgaja, de forma que quede un hilo más grueso y se puedan volver a util	cartolina hojilla papel
