word	definition	predicted_words
año	período de tiempo que se mide en 365 días y equivale a la duración aproximada de una revolución lunar	año añillo luna
año	período de tiempo compuesto por 12 meses consecutivos, equivalente a una rotación completa de la tierra alrededor del sol.	año ciclo rotación orbita
año	período de tiempo duración de aproximadamente 365,25 días dividido en doce meses	año
año	periodo de tiempo comprendido entre dos fechas consecutivas equivalentes, usualmente expresadas en un calendario	período intervalo rango época etapa
año	período de tiempo que comienza en día determinado y termina antes de que comience otro igual, identificado por un número	siglo década centuria año era
país	territorio político independiente con gobierno propio y fronteras demarcadas	país estado nación reino republica
país	región geográfica delimitada administrativamente con soberanía propia y reconocida internacionalmente.	país nación estado reino territorio
país	región geográfica definida por sus fronteras y posee una administración política y gobierno propio	país estado nación territorio región provincia departamento
país	región geográfica definida por su territorio, población e instituciones políticas propias	país región nación territorio estado
país	región geográfica delimitada por límites políticos y habitada por una población con una identidad nacional unificada	país nación estado reino territorio
ver	percibir con los ojos o mediante una representación visual un objeto, escena o fenómeno del entorno.	ver mirar percibir observar contemplar
ver	actividad intelectual que permite reconocer y comprender la realidad a través de la percepción sensorial	conocimiento percepción conciencia intuición comprensión
ver	la capacidad de distinguir e identificar objetos y perceiver cambios en el entorno mediante la percepción visual	visión visibilidad percepción
ver	percepción sensorial a través de los ojos, que permite reconocer objetos y manifestaciones de la realidad	visión vista mirada
ver	percepción mental de una imagen mediante los ojos, generalmente producida por la luz que entra a través de la pupila.	visión vista mirada
caso	sitio inamovible y específico de una causa judicial o situación delicada.	juicio juicio oral juicio penal juicio civil tribunal audiencia
caso	enfocamiento particular o situación que se considera o analiza en un aspecto determinado	enfoque mirada mirada puntual
caso	situación o problema que requiere una consideración o atención especial	cuestión asunto asunto grave problema situación caso
caso	situación o circunstancia que requiere un modo específico para su tratamiento o consideración	situación circunstancia caso asunto asunto grave circunstancial
caso	situación o acontecimiento específico en el que se aplica una norma o disposición legal	caso asunto asunto judicial situación incidente
vida	experiencia biológica y existencial caracterizada por crecimiento, evolución y interacción con el medio ambiente.	vida
vida	cadena de processos biológicos que caracterizan al ser vivo, desde su origen y crecimiento hasta su muerte	ciclo vida existencia desarrollo
vida	estado de existencia caracterizado por la combinación de funciones biológicas y procesos psicológicos	conciencia mente mente viva mente consciente mente pensante
vida	estado o proceso continuo de existencia biológica y funcional de un ser vivo natural o artificial	vida existencia biología vitalidad
vida	período o estado de existencia de un organismo, caracterizado por crecimiento y evolución	vida existencia periodo
hombre	miembro de la especie humana, con características distintivas como la bipedación y la capacidad de la inteligencia	humano ser humano persona
hombre	miembro de la especie humana adulto, generalmente de género masculino, con características biológicas definidas.	hombre varón adulto individuo persona
hombre	miembro de la especie humana, cuyo género se asocia con características sexuales y roles sociales específicos	hombre hombre varón
hombre	se refiere a una persona que tiene un género biológico y psicológico masculino, con características físicas y comportamientos distintivas.	hombre varón macho
hombre	señor o individuo adulto que tiene características biológicas comunes a la especie humana	hombre persona adulto ser humano
