word	group_known
año	True
país	False
ver	False
caso	True
vida	False
hombre	True
forma	True
pasar	False
decir	False
presidente	True
hacer	False
mujer	True
mundo	False
querer	False
llegar	False
español	True
dejar	True
nacional	True
partido	False
persona	False
grupo	False
público	False
quedar	False
ir	False
mano	True
punto	True
millón	False
problema	True
dar	False
social	True
política	False
político	False
obra	False
salir	False
ciudad	True
encontrar	True
volver	True
seguir	False
pensar	True
sistema	True
importante	False
tipo	False
mes	False
económico	False
agua	True
cambio	True
derecho	False
alto	False
situación	True
frente	True
hablar	False
noche	True
poner	False
tomar	False
empresa	True
historia	True
padre	True
venir	False
fuerza	False
proceso	True
centro	False
relación	True
único	False
vivir	False
parecer	False
esperar	True
servicio	False
producir	True
palabra	True
pueblo	True
hijo	True
mantener	True
pequeño	False
cuerpo	False
permitir	True
siglo	False
nombre	True
mirar	False
sociedad	False
llevar	False
presentar	False
llamar	False
acción	True
ojo	True
creer	False
puesto	True
humano	False
niño	False
número	True
él	True
gente	False
ministro	True
semana	True
realidad	True
nivel	False
tierra	True
libro	True
programa	True
equipo	False
joven	True
resultado	True
desarrollo	False
proyecto	False
guerra	True
recordar	False
saber	False
actividad	True
razón	True
necesario	True
familia	False
estudio	False
zona	True
idea	True
tema	True
muerte	True
entrar	True
madre	False
internacional	False
condición	False
paso	False
interés	False
comenzar	True
principio	False
cabeza	False
calle	True
mañana	False
señor	True
información	False
sector	False
voz	False
don	False
buscar	False
sentir	False
puerta	True
medida	True
militar	False
efecto	True
director	False
movimiento	True
preguntar	False
posibilidad	False
mercado	True
empezar	True
viejo	False
fondo	False
orden	True
pedir	True
luz	True
resultar	False
aparecer	False
tratar	False
policía	True
peseta	True
hora	True
real	False
principal	False
imagen	False
miembro	True
llamado	False
blanco	True
recibir	False
actual	False
papel	True
amigo	True
especial	False
falta	True
comisión	False
campo	True
necesidad	False
cosa	False
camino	False
organización	False
seguridad	False
minuto	True
negro	False
comunidad	True
figura	False
acabar	False
europeo	True
capital	True
banco	True
decisión	True
producto	True
mayoría	False
perder	False
espacio	True
interior	False
servir	False
futuro	True
fuente	False
función	True
personal	False
oficial	False
investigación	True
popular	False
juego	True
objetivo	False
duda	False
libertad	False
base	False
clase	False
abrir	False
contar	True
arte	True
medio	False
lograr	False
conocer	True
difícil	False
pie	True
ocasión	False
ocurrir	False
objeto	True
elección	True
central	False
ofrecer	True
menor	False
jefe	True
causa	True
población	True
cultura	True
presente	True
música	True
dio	False
producción	True
médico	True
recurso	False
autor	True
dinero	True
línea	True
dirección	False
aspecto	False
precio	True
fuerte	False
muerto	True
color	True
convertir	False
santo	True
vista	False
presencia	True
distinto	False
considerar	True
asunto	False
autoridad	False
resto	False
civil	False
elemento	True
cara	False
consecuencia	False
acto	False
visto	False
carácter	False
gustar	False
dólar	True
diario	True
posición	True
peso	True
dato	False
argentino	False
julio	False
francés	True
gracia	False
hecho	False
natural	False
economía	True
común	False
caer	False
conocido	True
edad	False
cambiar	False
época	False
superior	True
conjunto	True
libre	False
experiencia	True
rey	True
especie	False
región	False
seguro	False
alcanzar	True
mostrar	True
llegado	True
comunicación	True
carta	True
capacidad	False
cumplir	False
serie	False
reunión	False
técnica	False
antiguo	False
mundial	True
contrario	True
término	False
entender	True
obtener	False
control	True
cargo	True
socialista	False
enfermedad	True
cantidad	False
opinión	True
referir	False
defensa	True
profesional	True
suponer	False
prueba	True
respuesta	False
utilizar	False
ganar	False
aire	False
terminar	True
jugar	True
artículo	True
prensa	False
cuarto	True
justicia	True
poder	False
privado	True
local	False
abierto	False
físico	True
crisis	True
malo	False
cuadro	True
evitar	True
realizar	False
mesa	True
operación	False
compañía	False
ministerio	False
unidad	True
televisión	True
izquierda	False
escribir	False
norteamericano	True
exterior	True
cuestión	False
área	True
administración	False
continuar	False
juez	True
material	False
largo	False
paciente	False
institución	False
salud	True
escuela	False
cultural	False
paz	True
trabajador	False
película	True
decidir	False
establecer	False
morir	False
estructura	True
metro	True
necesitar	False
educación	True
energía	False
ayuda	False
actitud	False
esfuerzo	False
nación	True
silencio	True
muestra	False
texto	True
conocimiento	True
histórico	False
responder	False
constituir	True
atención	True
allá	False
importancia	True
apoyo	False
científico	True
explicar	True
encuentro	True
formar	False
modelo	True
origen	False
hermano	True
declaración	False
suelo	True
extranjero	True
calidad	True
capaz	False
lucha	False
práctica	False
título	True
secretario	False
determinado	False
ciencia	False
brazo	True
máximo	True
bajo	False
escrito	False
solución	False
cine	True
animal	True
campaña	False
iniciar	False
propuesta	False
cabo	False
sueño	True
río	False
fecha	False
contenido	False
naturaleza	False
grave	False
ejército	False
sol	True
mar	False
especialmente	True
reforma	False
informe	True
materia	True
motivo	True
personaje	False
régimen	True
duro	False
electoral	True
interno	False
entrada	True
marco	False
éxito	False
señal	False
correr	True
incluir	False
carrera	True
expresión	True
concepto	True
organismo	True
vuelta	True
pobre	False
radio	True
sangre	True
domingo	True
particular	False
vía	False
ambiente	True
dirigente	False
familiar	False
corte	False
parte	True
soler	False
reconocer	True
formación	False
fiscal	False
diputado	False
característica	True
crear	True
cámara	False
responsable	False
democrático	False
representar	False
dolor	True
factor	True
tribunal	True
boca	True
mínimo	False
doctor	False
tercero	False
afirmar	False
américa	True
período	False
documento	False
planta	True
grado	False
arma	True
precisamente	False
técnico	True
señalar	False
existencia	True
ciudadano	True
jugador	True
líder	False
industria	False
suficiente	False
tratamiento	False
teatro	True
directo	False
mirada	False
aumentar	False
asociación	True
lleno	True
dispuesto	False
construcción	True
etapa	True
crecimiento	True
