word	definition	predicted_words
acelguilla	el fruto de la planta de la _, generalmente pequeño, alargado y verde. tiene un sabor dulce y un aroma intenso.	fruto cereza manzana
acelguilla	no se refiere a ninguna especie de animal, pero se usa como término coloquial para describir algo que se mueve rápidamente	rapido rápido swift
acelguilla	altos y rápidos, con muchísima rapidez de movimiento	rápido rapido swift celerado
acelguilla	sustancia que se utiliza para lubricar las superficies, normalmente de metal, para reducir la fricción y el calentamiento	lubricante
acelguilla	bebe sin sonido de movimiento, generalmente por el calor de la bebida.  no se refiere a una velocidad de movimiento.	caliente
agüista	persona que no es puntual, tardada o que no se ajusta a los horarios de tiempo	no se encontró ninguna palabra que encajen con la definición. la definición no contiene palabras que se asocian con el tiempo.
agüista	persona que se aporta a una situación con poco interés o motivación, o que no muestra interés en el resultado.	indiferente apatido desanimado
agüista	persona que se mueve rápidamente y con agilidad, generalmente por movimientos escapados de lo normal	corredor rapido agile
agüista	que se mueve rápidamente, con muchá rapidez. es una palabra que se usa para describir cosas que se mueve rápido como el agua.	rápido rapido celerado
agüista	persona que muestra una actitud irresistibly optimista, incluso en situaciones donde es improbable	no se encontró ninguna palabra que encajen con la definición. la definición no contiene palabras que se podrían asociar con una persona.
antidiarreico	componente que disminuye la producción de excrementos por el intestino	la definición no contiene palabras que se asocien con el intestino, por lo que no se pudo encontrar la respuesta.
antidiarreico	substances que reducen las tasas de defecación por acción en el intestino	la definición no contiene palabras que se asocien con las sustancias que reducen las tasas de defecación por acción en el intestino, por lo que no se pudo encontrar la respuesta para la solicitud.
antidiarreico	complemento que reduce la frecuencia de las evacciones por diarréea	la definición no contiene palabras que se asocien con el reducción de la frecuencia de las evacuaciones por diarréea, por lo que no se pudo encontrar la respuesta.
antidiarreico	composto que reduce la frecuencia de las evacuaciones intestinales	la definición no contiene palabras que se asocien con el reducción de la frecuencia de las evacuaciones intestinales, por lo que no se pudo encontrar la respuesta.
antidiarreico	substance que reduce la frecuencia de las evacuaciones del intestino	la definición no contiene palabras que se asocien con la reducción de la frecuencia de las evacuaciones del intestino, por lo que no se pudo encontrar la respuesta.
apealar	provocar una reacción de disgusto, rechazo o horror en alguien	repulsivo nauseabundo intolerable
apealar	causa la atracción o el deseo de alguien por el atractivo físico o por una cualidad similar	la definición no contiene palabras que se asocien con la atracción o el deseo, por lo que no se pudo encontrar la respuesta.
apealar	causa una reacción opuesta a la atracción, como desgusto, aversión o repulsión.	antipatía desgusto aversión
apealar	provocar una reacción desagradable, como el disgusto, la aversión o el miedo, en alguien.	repulsivo odioso intolerable
apealar	causa revulsiona, disgusto o malestar	repulsivo nauseoso vomitivo
apparat	dispositivo o conjunto de dispositivos que se utilizan para realizar una tarea específica	dispositivo herramienta apato
apparat	dispositivo especializado para una actividad específica, generalmente mecánica o tecnológica.	la definición no se ajusta a la palabra dispositivo, por lo que no se pudo encontrar la palabra que se ajusta a la definición.
apparat	dispositivo mecánica utilizado para adquirir o gestionar datos. puede ser utilizado para diversos propósitos, como el almacenamiento, la transmisión o la visualización de datos.	dispositivo computadora ordenador
