word	group_known
año	True
país	False
ver	False
caso	False
vida	True
hombre	True
forma	True
pasar	False
decir	False
presidente	True
hacer	False
mujer	True
mundo	True
querer	False
llegar	True
español	True
dejar	True
nacional	True
partido	False
persona	True
grupo	True
público	True
quedar	False
ir	True
mano	True
punto	True
millón	True
problema	True
dar	False
social	True
política	False
político	True
obra	True
salir	True
ciudad	True
encontrar	True
volver	True
seguir	False
pensar	False
sistema	True
importante	True
tipo	True
mes	False
económico	False
agua	True
cambio	True
derecho	True
alto	True
situación	False
frente	False
hablar	True
noche	True
poner	True
tomar	True
empresa	True
historia	True
padre	True
venir	False
fuerza	True
proceso	True
centro	True
relación	True
único	True
vivir	True
parecer	False
esperar	True
servicio	True
producir	True
palabra	True
pueblo	False
hijo	True
mantener	True
pequeño	False
cuerpo	True
permitir	False
siglo	True
nombre	True
mirar	True
sociedad	True
llevar	False
presentar	True
llamar	True
acción	True
ojo	False
creer	True
puesto	False
humano	True
niño	True
número	True
él	True
gente	False
ministro	True
semana	True
realidad	True
nivel	True
tierra	False
libro	True
programa	True
equipo	True
joven	True
resultado	True
desarrollo	False
proyecto	True
guerra	True
recordar	False
saber	False
actividad	True
razón	True
necesario	False
familia	True
estudio	True
zona	True
idea	True
tema	True
muerte	True
entrar	True
madre	True
internacional	True
condición	False
paso	True
interés	False
comenzar	True
principio	False
cabeza	True
calle	True
mañana	True
señor	False
información	False
sector	True
voz	False
don	False
buscar	True
sentir	False
puerta	True
medida	True
militar	True
efecto	True
director	True
movimiento	True
preguntar	True
posibilidad	True
mercado	True
empezar	True
viejo	True
fondo	False
orden	True
pedir	False
luz	True
resultar	False
aparecer	False
tratar	False
policía	True
peseta	False
hora	True
real	True
principal	False
imagen	True
miembro	False
llamado	False
blanco	True
recibir	True
actual	True
papel	True
amigo	True
especial	False
falta	True
comisión	True
campo	True
necesidad	True
cosa	False
camino	True
organización	True
seguridad	True
minuto	True
negro	False
comunidad	True
figura	False
acabar	True
europeo	False
capital	True
banco	True
decisión	True
producto	True
mayoría	True
perder	False
espacio	True
interior	True
servir	False
futuro	True
fuente	False
función	False
personal	True
oficial	False
investigación	True
popular	True
juego	False
objetivo	True
duda	True
libertad	True
base	False
clase	True
abrir	True
contar	False
arte	True
medio	True
lograr	False
conocer	False
difícil	True
pie	False
ocasión	False
ocurrir	False
objeto	True
elección	True
central	False
ofrecer	False
menor	True
jefe	False
causa	True
población	True
cultura	True
presente	True
música	True
dio	False
producción	True
médico	False
recurso	False
autor	True
dinero	True
línea	True
dirección	True
aspecto	True
precio	True
fuerte	False
muerto	True
color	True
convertir	True
santo	True
vista	True
presencia	True
distinto	False
considerar	True
asunto	True
autoridad	True
resto	True
civil	False
elemento	True
cara	True
consecuencia	False
acto	False
visto	False
carácter	False
gustar	False
dólar	True
diario	True
posición	True
peso	True
dato	True
argentino	True
julio	False
francés	True
gracia	False
hecho	False
natural	False
economía	True
común	False
caer	False
conocido	True
edad	True
cambiar	True
época	True
superior	True
conjunto	False
libre	False
experiencia	True
rey	False
especie	True
región	False
seguro	False
alcanzar	True
mostrar	True
llegado	False
comunicación	True
carta	True
capacidad	True
cumplir	True
serie	True
reunión	True
técnica	False
antiguo	True
mundial	True
contrario	True
término	True
entender	True
obtener	True
control	True
cargo	True
socialista	True
enfermedad	True
cantidad	True
opinión	False
referir	True
defensa	True
profesional	True
suponer	True
prueba	True
respuesta	True
utilizar	True
ganar	True
aire	True
terminar	True
jugar	False
artículo	False
prensa	True
cuarto	False
justicia	True
poder	True
privado	True
local	False
abierto	True
físico	True
crisis	True
malo	False
cuadro	True
evitar	True
realizar	True
mesa	True
operación	True
compañía	False
ministerio	False
unidad	True
televisión	True
izquierda	True
escribir	False
norteamericano	True
exterior	False
cuestión	True
área	False
administración	True
continuar	True
juez	True
material	False
largo	False
paciente	True
institución	True
salud	True
escuela	True
cultural	True
paz	True
trabajador	False
película	True
decidir	False
establecer	True
morir	False
estructura	True
metro	True
necesitar	True
educación	True
energía	True
ayuda	True
actitud	False
esfuerzo	False
nación	True
silencio	True
muestra	True
texto	True
conocimiento	True
histórico	False
responder	True
constituir	False
atención	True
allá	False
importancia	True
apoyo	True
científico	True
explicar	False
encuentro	True
formar	True
modelo	True
origen	False
hermano	True
declaración	True
suelo	False
extranjero	True
calidad	True
capaz	False
lucha	True
práctica	True
título	True
secretario	True
determinado	False
ciencia	True
brazo	False
máximo	False
bajo	False
escrito	False
solución	True
cine	True
animal	True
campaña	True
iniciar	True
propuesta	True
cabo	False
sueño	True
río	True
fecha	True
contenido	False
naturaleza	True
grave	False
ejército	False
sol	False
mar	True
especialmente	True
reforma	True
informe	True
materia	False
motivo	True
personaje	True
régimen	False
duro	False
electoral	False
interno	False
entrada	True
marco	False
éxito	False
señal	True
correr	True
incluir	False
carrera	True
expresión	False
concepto	True
organismo	True
vuelta	False
pobre	False
radio	True
sangre	True
domingo	True
particular	True
vía	True
ambiente	True
dirigente	False
familiar	True
corte	True
parte	True
soler	False
reconocer	False
formación	False
fiscal	True
diputado	False
característica	True
crear	True
cámara	True
responsable	True
democrático	False
representar	False
dolor	True
factor	True
tribunal	True
boca	True
mínimo	False
doctor	True
tercero	True
afirmar	True
américa	True
período	True
documento	True
planta	False
grado	True
arma	True
precisamente	False
técnico	False
señalar	False
existencia	True
ciudadano	False
jugador	True
líder	True
industria	True
suficiente	True
tratamiento	True
teatro	True
directo	False
mirada	True
aumentar	True
asociación	True
lleno	False
dispuesto	False
construcción	True
etapa	False
crecimiento	True
