word	group_known
año	True
país	False
ver	True
caso	False
vida	True
hombre	True
forma	True
pasar	False
decir	False
presidente	True
hacer	True
mujer	True
mundo	True
querer	True
llegar	True
español	True
dejar	True
nacional	True
partido	False
persona	True
grupo	True
público	True
quedar	True
ir	True
mano	True
punto	True
millón	True
problema	True
dar	False
social	True
política	True
político	True
obra	True
salir	True
ciudad	True
encontrar	True
volver	True
seguir	False
pensar	True
sistema	True
importante	True
tipo	True
mes	True
económico	True
agua	True
cambio	True
derecho	False
alto	True
situación	True
frente	True
hablar	True
noche	True
poner	True
tomar	True
empresa	True
historia	True
padre	True
venir	True
fuerza	True
proceso	True
centro	True
relación	True
único	True
vivir	True
parecer	False
esperar	True
servicio	True
producir	True
palabra	True
pueblo	True
hijo	True
mantener	False
pequeño	True
cuerpo	True
permitir	True
siglo	True
nombre	True
mirar	True
sociedad	True
llevar	True
presentar	True
llamar	True
acción	True
ojo	True
creer	True
puesto	True
humano	True
niño	True
número	False
él	True
gente	True
ministro	True
semana	True
realidad	True
nivel	True
tierra	True
libro	True
programa	True
equipo	True
joven	True
resultado	True
desarrollo	True
proyecto	True
guerra	True
recordar	True
saber	True
actividad	True
razón	True
necesario	True
familia	True
estudio	True
zona	True
idea	True
tema	True
muerte	True
entrar	True
madre	True
internacional	True
condición	True
paso	True
interés	True
comenzar	True
principio	False
cabeza	True
calle	True
mañana	True
señor	False
información	True
sector	True
voz	True
don	True
buscar	True
sentir	False
puerta	True
medida	True
militar	True
efecto	True
director	True
movimiento	True
preguntar	True
posibilidad	True
mercado	True
empezar	True
viejo	True
fondo	True
orden	True
pedir	True
luz	True
resultar	False
aparecer	True
tratar	False
policía	True
peseta	False
hora	True
real	True
principal	True
imagen	True
miembro	True
llamado	False
blanco	True
recibir	True
actual	True
papel	True
amigo	True
especial	False
falta	False
comisión	False
campo	True
necesidad	True
cosa	True
camino	True
organización	True
seguridad	True
minuto	True
negro	True
comunidad	True
figura	True
acabar	True
europeo	True
capital	True
banco	True
decisión	True
producto	True
mayoría	True
perder	True
espacio	True
interior	True
servir	False
futuro	True
fuente	True
función	False
personal	True
oficial	True
investigación	True
popular	True
juego	True
objetivo	True
duda	True
libertad	True
base	True
clase	True
abrir	True
contar	True
arte	True
medio	True
lograr	True
conocer	True
difícil	False
pie	True
ocasión	True
ocurrir	True
objeto	True
elección	True
central	True
ofrecer	True
menor	True
jefe	True
causa	True
población	True
cultura	True
presente	True
música	True
dio	False
producción	True
médico	False
recurso	True
autor	True
dinero	True
línea	True
dirección	True
aspecto	False
precio	True
fuerte	True
muerto	True
color	True
convertir	True
santo	True
vista	True
presencia	True
distinto	True
considerar	True
asunto	False
autoridad	True
resto	True
civil	True
elemento	True
cara	True
consecuencia	True
acto	True
visto	False
carácter	False
gustar	False
dólar	True
diario	True
posición	True
peso	True
dato	True
argentino	True
julio	True
francés	True
gracia	False
hecho	True
natural	True
economía	True
común	True
caer	True
conocido	True
edad	True
cambiar	True
época	False
superior	True
conjunto	True
libre	True
experiencia	True
rey	True
especie	True
región	True
seguro	True
alcanzar	True
mostrar	True
llegado	True
comunicación	True
carta	True
capacidad	True
cumplir	True
serie	True
reunión	True
técnica	False
antiguo	True
mundial	True
contrario	True
término	True
entender	True
obtener	True
control	True
cargo	False
socialista	True
enfermedad	True
cantidad	True
opinión	True
referir	True
defensa	True
profesional	True
suponer	True
prueba	True
respuesta	True
utilizar	True
ganar	True
aire	True
terminar	True
jugar	True
artículo	True
prensa	False
cuarto	True
justicia	False
poder	False
privado	True
local	True
abierto	True
físico	False
crisis	True
malo	True
cuadro	True
evitar	True
realizar	True
mesa	True
operación	True
compañía	True
ministerio	True
unidad	True
televisión	True
izquierda	True
escribir	True
norteamericano	True
exterior	True
cuestión	False
área	True
administración	True
continuar	True
juez	True
material	True
largo	False
paciente	True
institución	True
salud	True
escuela	True
cultural	True
paz	True
trabajador	True
película	True
decidir	True
establecer	True
morir	True
estructura	True
metro	True
necesitar	True
educación	True
energía	True
ayuda	True
actitud	True
esfuerzo	True
nación	True
silencio	True
muestra	False
texto	True
conocimiento	True
histórico	True
responder	True
constituir	False
atención	True
allá	False
importancia	True
apoyo	True
científico	True
explicar	True
encuentro	True
formar	False
modelo	True
origen	True
hermano	True
declaración	True
suelo	True
extranjero	True
calidad	True
capaz	True
lucha	True
práctica	True
título	False
secretario	True
determinado	False
ciencia	True
brazo	True
máximo	True
bajo	True
escrito	False
solución	True
cine	True
animal	True
campaña	True
iniciar	True
propuesta	True
cabo	False
sueño	False
río	True
fecha	True
contenido	True
naturaleza	True
grave	True
ejército	True
sol	True
mar	True
especialmente	False
reforma	True
informe	True
materia	True
motivo	True
personaje	True
régimen	False
duro	False
electoral	False
interno	True
entrada	True
marco	True
éxito	True
señal	True
correr	True
incluir	True
carrera	False
expresión	True
concepto	True
organismo	True
vuelta	False
pobre	True
radio	True
sangre	True
domingo	True
particular	True
vía	True
ambiente	True
dirigente	False
familiar	True
corte	True
parte	True
soler	False
reconocer	True
formación	True
fiscal	True
diputado	True
característica	True
crear	True
cámara	False
responsable	True
democrático	True
representar	False
dolor	True
factor	True
tribunal	True
boca	True
mínimo	True
doctor	True
tercero	True
afirmar	False
américa	True
período	True
documento	True
planta	True
grado	True
arma	True
precisamente	True
técnico	False
señalar	False
existencia	False
ciudadano	True
jugador	True
líder	True
industria	True
suficiente	True
tratamiento	True
teatro	True
directo	True
mirada	False
aumentar	True
asociación	True
lleno	True
dispuesto	True
construcción	True
etapa	True
crecimiento	True
