word	group_known
años	True
vida	False
país	False
año	False
mundo	True
presidente	True
caso	False
forma	True
millones	True
hombre	False
nacional	False
política	True
partido	True
grupo	True
frente	True
personas	False
mujer	False
ciudad	True
social	False
sistema	True
historia	True
punto	True
noche	True
situación	False
tipo	False
agua	True
países	False
ley	True
proceso	True
mano	True
cambio	False
importante	False
realidad	True
desarrollo	False
sociedad	False
centro	True
número	True
cuerpo	True
gente	False
siglo	False
guerra	False
obra	True
padre	True
ojos	True
don	False
pueblo	True
muerte	True
público	False
problemas	False
mañana	True
madre	True
nombre	True
meses	False
hombres	False
derecho	False
problema	True
cabeza	True
hora	False
ministro	False
información	True
señor	False
mujeres	True
tierra	True
director	False
pesetas	False
manos	True
llegar	False
cosa	False
familia	False
equipo	True
casos	False
falta	False
seguridad	True
nivel	True
voz	True
iba	False
semana	False
mayoría	True
español	True
luz	False
orden	True
político	True
proyecto	True
mercado	True
internacional	False
paso	False
empresa	True
policía	True
palabras	True
fuerza	True
puesto	True
puerta	True
comisión	True
programa	False
española	False
real	False
único	False
acción	True
libro	True
interior	False
condiciones	True
calle	False
obras	True
capital	True
música	True
dios	True
fondo	False
persona	True
dinero	True
hijo	False
zona	False
tema	True
razón	False
camino	False
papel	True
vista	False
hablar	False
presencia	True
libertad	True
especial	False
actual	False
relaciones	False
servicio	True
campo	False
relación	True
minutos	False
medios	True
producción	True
movimiento	True
idea	True
julio	True
miembros	True
interés	False
alto	True
principio	False
dirección	True
arte	True
cultura	True
empresas	False
hacía	True
visto	True
puntos	False
mes	False
sector	False
población	True
difícil	False
fuerzas	False
grupos	False
imagen	True
figura	False
futuro	True
militar	True
servicios	False
espacio	True
posibilidad	False
niños	False
económica	False
economía	False
personal	False
jefe	True
carácter	False
organización	True
central	False
actividad	False
aire	True
banco	False
prensa	True
popular	False
necesario	False
justicia	True
joven	True
comunidad	False
edad	True
políticos	True
efecto	True
pública	False
cara	True
crisis	True
decisión	True
necesidad	True
duda	True
capacidad	True
estudio	False
dólares	False
ministerio	True
defensa	False
mundial	False
televisión	False
serie	True
quiero	False
sociales	True
datos	True
base	True
investigación	True
época	False
control	False
queda	True
hijos	False
pasar	False
civil	False
salud	True
paz	True
juego	True
presente	False
niño	True
resultados	False
educación	True
derechos	False
resultado	True
conjunto	True
recursos	True
atención	False
allá	False
izquierda	True
partidos	False
importancia	True
contrario	False
menor	True
pasa	True
resto	False
gracias	True
administración	False
palabra	False
seguir	False
salir	False
fuerte	False
causa	False
calidad	True
medida	True
elecciones	True
secretario	False
silencio	False
comunicación	True
libre	False
fuentes	False
parecía	False
oficial	False
cine	True
mesa	True
cabo	False
españoles	False
naturaleza	True
apoyo	False
importantes	False
común	False
económico	False
principal	False
sol	True
decía	False
energía	True
mar	True
clase	True
dejar	False
especialmente	False
experiencia	True
cantidad	False
jóvenes	False
objeto	False
rey	False
opinión	True
función	True
estudios	False
superior	False
posición	False
única	False
reunión	True
color	False
respuesta	True
trabajadores	True
radio	False
viejo	False
alta	True
sangre	True
evitar	False
elementos	True
resulta	False
partes	False
pensar	False
suelo	True
lucha	True
actividades	True
origen	True
ejército	True
boca	True
medidas	False
cargo	True
américa	True
tomar	False
autoridades	True
autor	True
hechos	True
precisamente	False
pie	False
existencia	True
ayuda	False
productos	False
régimen	False
objetivo	True
teatro	True
políticas	True
sabía	True
línea	False
quería	True
crecimiento	True
acciones	False
encuentro	True
muestra	True
natural	True
compañía	False
derecha	True
carta	False
seguro	False
momentos	False
amigos	True
artículo	True
acto	False
doctor	True
amigo	False
viene	False
formas	False
consecuencia	True
región	False
cuarto	False
ve	False
campaña	True
diario	False
norte	True
metros	True
argentina	True
deja	False
éxito	True
ambiente	True
tiempos	False
actitud	True
escuela	True
especie	True
participación	False
domingo	True
formación	True
finalmente	False
permite	False
blanco	True
marcha	False
baja	False
río	False
principales	False
espera	True
mitad	True
juez	True
sur	True
entrada	False
grande	True
cuadro	False
vivir	False
miedo	True
cambios	True
enfermedad	True
valores	True
llegado	False
mayo	True
estructura	False
negro	True
acerca	False
mira	False
ideas	False
expresión	True
santa	True
construcción	True
análisis	True
peso	False
padres	False
fácil	False
conocimiento	True
pequeño	False
tratamiento	False
democracia	False
materia	False
humanos	False
corazón	True
fecha	True
mayores	True
cuestión	False
unidad	False
diferencia	True
plazo	True
vino	True
período	False
llega	False
texto	False
efectos	False
señora	False
práctica	True
volvió	False
informe	True
puerto	True
cultural	False
socialista	False
oposición	False
carrera	False
tribunal	False
industria	True
pese	False
médico	True
volver	False
asunto	True
mirada	False
exterior	True
llamado	False
favor	False
produce	True
libros	False
enero	True
conciencia	False
atrás	True
mantener	True
cámara	True
modelo	True
electoral	True
sectores	True
diciembre	True
fuego	False
distintos	False
intereses	True
salida	False
técnica	True
ocasión	False
fiscal	True
mejores	False
comercio	True
creación	True
solución	True
vuelta	False
entrar	False
suerte	False
razones	False
aumento	False
pasó	True
principios	True
militares	False
sala	False
humano	True
ocasiones	False
revolución	True
reforma	False
precio	True
características	True
voluntad	True
aspectos	False
recuerdo	False
puso	True
capaz	False
juicio	False
encontrar	True
película	True
programas	True
zonas	False
hija	False
asimismo	False
memoria	True
prueba	False
primeras	False
junio	True
sueño	True
contenido	True
operación	True
título	True
octubre	True
cama	True
toma	False
fútbol	True
posibilidades	True
esfuerzo	False
asociación	True
temas	True
particular	True
producto	False
aspecto	False
vio	False
muerto	False
marco	False
local	False
etapa	False
pequeña	True
corte	True
profesional	False
violencia	True
armas	True
dolor	False
pone	False
ciencia	True
precios	False
presenta	True
llama	True
centros	True
pregunta	False
generales	True
jamás	False
visita	True
victoria	True
suficiente	True
semanas	True
vía	False
riesgo	False
propuesta	True
vuelve	True
busca	False
consumo	True
aparece	True
área	True
siguientes	True
grado	False
tipos	False
encuentran	True
estilo	False
concepto	False
instituciones	True
cielo	False
carne	True
instituto	True
larga	True
material	True
perdido	True
comenzó	False
deseo	True
hermano	True
lenguaje	True
dije	False
cree	False
líder	True
oro	True
humana	False
abril	False
términos	False
buscar	False
simple	True
podido	False
imposible	False
