word	group_known
año	True
país	True
ver	False
caso	True
vida	True
hombre	False
forma	True
pasar	False
decir	False
presidente	True
hacer	True
mujer	True
mundo	False
querer	False
llegar	False
español	True
dejar	False
nacional	False
partido	True
persona	True
grupo	True
público	False
quedar	False
ir	False
mano	True
punto	True
millón	False
problema	False
dar	False
social	False
política	True
político	False
obra	True
salir	True
ciudad	True
encontrar	True
volver	False
seguir	False
pensar	False
sistema	True
importante	False
tipo	True
mes	True
económico	False
agua	True
cambio	True
derecho	False
alto	True
situación	True
frente	False
hablar	False
noche	False
poner	False
tomar	False
empresa	True
historia	True
padre	True
venir	False
fuerza	True
proceso	True
centro	True
relación	True
único	True
vivir	False
parecer	False
esperar	False
servicio	True
producir	False
palabra	True
pueblo	True
hijo	False
mantener	True
pequeño	True
cuerpo	True
permitir	True
siglo	True
nombre	True
mirar	True
sociedad	False
llevar	False
presentar	True
llamar	False
acción	False
ojo	True
creer	False
puesto	False
humano	True
niño	True
número	True
él	False
gente	False
ministro	True
semana	False
realidad	True
nivel	False
tierra	False
libro	False
programa	False
equipo	True
joven	True
resultado	True
desarrollo	True
proyecto	True
guerra	True
recordar	True
saber	False
actividad	True
razón	True
necesario	False
familia	True
estudio	False
zona	True
idea	True
tema	True
muerte	True
entrar	True
madre	False
internacional	False
condición	True
paso	False
interés	True
comenzar	False
principio	False
cabeza	True
calle	False
mañana	False
señor	False
información	True
sector	True
voz	False
don	False
buscar	True
sentir	False
puerta	False
medida	False
militar	False
efecto	False
director	True
movimiento	True
preguntar	False
posibilidad	True
mercado	True
empezar	False
viejo	False
fondo	False
orden	True
pedir	True
luz	True
resultar	False
aparecer	False
tratar	False
policía	False
peseta	False
hora	True
real	True
principal	True
imagen	True
miembro	True
llamado	False
blanco	True
recibir	False
actual	True
papel	True
amigo	False
especial	True
falta	True
comisión	False
campo	True
necesidad	True
cosa	False
camino	True
organización	True
seguridad	True
minuto	False
negro	True
comunidad	False
figura	True
acabar	False
europeo	False
capital	False
banco	False
decisión	False
producto	True
mayoría	False
perder	True
espacio	True
interior	True
servir	False
futuro	True
fuente	True
función	False
personal	True
oficial	False
investigación	True
popular	True
juego	True
objetivo	True
duda	True
libertad	False
base	False
clase	False
abrir	False
contar	True
arte	True
medio	True
lograr	True
conocer	False
difícil	True
pie	True
ocasión	False
ocurrir	False
objeto	True
elección	True
central	True
ofrecer	False
menor	False
jefe	False
causa	True
población	True
cultura	True
presente	False
música	True
dio	False
producción	True
médico	True
recurso	False
autor	True
dinero	True
línea	True
dirección	False
aspecto	False
precio	False
fuerte	True
muerto	True
color	True
convertir	True
santo	False
vista	True
presencia	False
distinto	True
considerar	True
asunto	False
autoridad	True
resto	True
civil	False
elemento	False
cara	True
consecuencia	False
acto	False
visto	False
carácter	False
gustar	False
dólar	False
diario	True
posición	True
peso	True
dato	True
argentino	False
julio	False
francés	True
gracia	False
hecho	False
natural	True
economía	True
común	True
caer	False
conocido	True
edad	False
cambiar	True
época	False
superior	True
conjunto	True
libre	True
experiencia	True
rey	False
especie	False
región	True
seguro	True
alcanzar	True
mostrar	True
llegado	False
comunicación	True
carta	False
capacidad	False
cumplir	False
serie	True
reunión	False
técnica	True
antiguo	True
mundial	False
contrario	True
término	False
entender	False
obtener	True
control	True
cargo	True
socialista	False
enfermedad	True
cantidad	True
opinión	True
referir	False
defensa	True
profesional	False
suponer	False
prueba	True
respuesta	True
utilizar	False
ganar	True
aire	True
terminar	False
jugar	False
artículo	True
prensa	False
cuarto	True
justicia	True
poder	True
privado	True
local	True
abierto	False
físico	False
crisis	True
malo	True
cuadro	False
evitar	True
realizar	False
mesa	True
operación	False
compañía	False
ministerio	False
unidad	False
televisión	False
izquierda	True
escribir	False
norteamericano	False
exterior	True
cuestión	False
área	False
administración	True
continuar	False
juez	False
material	True
largo	False
paciente	False
institución	False
salud	True
escuela	True
cultural	False
paz	True
trabajador	True
película	True
decidir	False
establecer	False
morir	False
estructura	True
metro	True
necesitar	False
educación	True
energía	False
ayuda	True
actitud	False
esfuerzo	False
nación	False
silencio	True
muestra	False
texto	True
conocimiento	True
histórico	False
responder	False
constituir	False
atención	True
allá	False
importancia	False
apoyo	True
científico	True
explicar	True
encuentro	True
formar	True
modelo	True
origen	True
hermano	False
declaración	True
suelo	True
extranjero	False
calidad	True
capaz	False
lucha	True
práctica	False
título	False
secretario	False
determinado	False
ciencia	True
brazo	True
máximo	True
bajo	False
escrito	False
solución	False
cine	True
animal	True
campaña	True
iniciar	True
propuesta	True
cabo	False
sueño	True
río	True
fecha	False
contenido	False
naturaleza	False
grave	False
ejército	False
sol	True
mar	False
especialmente	False
reforma	False
informe	False
materia	True
motivo	False
personaje	True
régimen	False
duro	True
electoral	False
interno	True
entrada	True
marco	False
éxito	False
señal	False
correr	True
incluir	True
carrera	True
expresión	False
concepto	False
organismo	False
vuelta	False
pobre	True
radio	True
sangre	False
domingo	True
particular	True
vía	False
ambiente	True
dirigente	True
familiar	True
corte	False
parte	True
soler	False
reconocer	False
formación	False
fiscal	False
diputado	False
característica	False
crear	True
cámara	False
responsable	False
democrático	True
representar	True
dolor	True
factor	True
tribunal	False
boca	False
mínimo	True
doctor	True
tercero	False
afirmar	True
américa	False
período	True
documento	True
planta	True
grado	True
arma	True
precisamente	False
técnico	False
señalar	False
existencia	True
ciudadano	True
jugador	True
líder	True
industria	True
suficiente	True
tratamiento	True
teatro	True
directo	True
mirada	False
aumentar	False
asociación	False
lleno	False
dispuesto	False
construcción	True
etapa	True
crecimiento	False
dirigir	False
actuar	False
puerto	True
deseo	True
sala	True
noticia	True
perdido	False
riesgo	True
plazo	False
derecha	True
asegurar	False
representante	True
momento	False
amplio	True
sacar	True
industrial	True
propiedad	True
funcionario	True
vino	True
claro	True
fácil	False
rojo	True
levantar	False
hija	False
escuchar	False
profundo	False
observar	False
inversión	True
leer	False
desarrollar	False
señora	False
norte	True
candidato	True
salida	False
sufrir	False
frío	True
tiempo	True
pleno	False
ejecutivo	False
participación	True
visita	False
página	False
juicio	False
finalmente	False
marcha	True
comercial	True
fundamental	False
municipal	False
armado	False
alemán	True
mitad	False
voto	False
sur	True
significar	False
grande	False
periodista	True
participar	True
responsabilidad	True
curso	True
aumento	False
dicho	False
crítica	False
miedo	True
terreno	False
oportunidad	False
contacto	False
existir	False
tarea	True
simple	True
comercio	True
pagar	False
valor	True
mayo	True
maestro	False
financiero	False
acerca	False
anunciar	False
memoria	True
conflicto	True
análisis	True
venta	True
presión	True
democracia	True
vecino	False
periódico	True
corazón	False
compañero	True
pretender	False
mayor	False
inmediato	False
golpe	True
mexicano	False
diferenciar	False
cama	True
profesor	True
carne	False
ocupar	False
completo	True
isla	True
negocio	True
estudiar	False
oposición	False
pese	False
declarar	False
aceptar	False
secreto	False
teoría	True
suceder	False
sujeto	True
favor	False
extremo	True
hospital	True
enero	True
artista	True
destacar	False
conciencia	True
atrás	False
rostro	True
dificultad	True
fenómeno	False
circunstancia	False
demanda	False
victoria	True
pensamiento	True
novela	True
estilo	False
lengua	True
diciembre	False
fuego	False
ingreso	False
preciso	True
provocar	False
mejor	True
creación	True
altura	False
adecuado	True
ejercicio	False
lista	True
concreto	False
previsto	True
negociación	False
error	False
indicar	False
suerte	True
club	True
método	True
enorme	True
corto	False
capítulo	False
demostrar	False
guardia	True
revolución	True
norma	True
cielo	False
voluntad	False
corresponder	False
sitio	False
edificio	True
departamento	False
traer	False
seguido	True
coche	False
herido	False
cifra	False
criterio	False
