word	group_known
años	True
vida	True
país	True
año	True
mundo	True
presidente	True
caso	True
forma	False
millones	True
hombre	True
nacional	True
política	True
partido	True
grupo	True
frente	True
personas	False
mujer	True
ciudad	True
social	True
sistema	True
historia	True
punto	True
noche	True
situación	True
tipo	True
agua	True
países	False
ley	True
proceso	True
mano	True
cambio	True
importante	True
realidad	True
desarrollo	True
sociedad	True
centro	True
número	True
cuerpo	True
gente	True
siglo	False
guerra	True
obra	True
padre	True
ojos	True
don	False
pueblo	True
muerte	True
público	True
problemas	False
mañana	False
madre	True
nombre	True
meses	True
hombres	False
derecho	True
problema	False
cabeza	True
hora	True
ministro	True
información	False
señor	False
mujeres	False
tierra	False
director	True
pesetas	False
manos	True
llegar	True
cosa	False
familia	True
equipo	True
casos	False
falta	False
seguridad	True
nivel	True
voz	False
iba	True
semana	True
mayoría	True
español	True
luz	True
orden	True
político	True
proyecto	True
mercado	True
internacional	False
paso	False
empresa	True
policía	True
palabras	False
fuerza	True
puesto	True
puerta	True
comisión	False
programa	True
española	True
real	False
único	False
acción	True
libro	True
interior	True
condiciones	True
calle	True
obras	False
capital	False
música	True
dios	True
fondo	False
persona	True
dinero	True
hijo	True
zona	True
tema	True
razón	True
camino	True
papel	True
vista	True
hablar	True
presencia	True
libertad	True
especial	False
actual	False
relaciones	False
servicio	True
campo	True
relación	False
minutos	True
medios	True
producción	False
movimiento	True
idea	False
julio	False
miembros	False
interés	False
alto	True
principio	False
dirección	True
arte	True
cultura	True
empresas	False
hacía	False
visto	False
puntos	False
mes	True
sector	True
población	True
difícil	True
fuerzas	True
grupos	False
imagen	True
figura	False
futuro	False
militar	False
servicios	False
espacio	False
posibilidad	False
niños	True
económica	True
economía	True
personal	False
jefe	True
carácter	False
organización	True
central	True
actividad	True
aire	True
banco	True
prensa	False
popular	False
necesario	False
justicia	True
joven	False
comunidad	True
edad	True
políticos	False
efecto	False
pública	True
cara	False
crisis	True
decisión	True
necesidad	False
duda	True
capacidad	True
estudio	True
dólares	True
ministerio	False
defensa	True
mundial	False
televisión	False
serie	True
quiero	True
sociales	False
datos	True
base	True
investigación	True
época	False
control	True
queda	False
hijos	True
pasar	False
civil	True
salud	True
paz	True
juego	True
presente	True
niño	True
resultados	True
educación	True
derechos	False
resultado	False
conjunto	False
recursos	True
atención	True
allá	False
izquierda	True
partidos	True
importancia	True
contrario	False
menor	False
pasa	False
resto	True
gracias	True
administración	True
palabra	False
seguir	False
salir	False
fuerte	False
causa	True
calidad	True
medida	True
elecciones	True
secretario	True
silencio	True
comunicación	True
libre	False
fuentes	False
parecía	False
oficial	False
cine	True
mesa	True
cabo	False
españoles	False
naturaleza	False
apoyo	False
importantes	False
común	False
económico	False
principal	True
sol	False
decía	True
energía	True
mar	True
clase	True
dejar	True
especialmente	False
experiencia	True
cantidad	False
jóvenes	True
objeto	True
rey	False
opinión	True
función	True
estudios	False
superior	False
posición	True
única	True
reunión	True
color	True
respuesta	True
trabajadores	False
radio	True
viejo	True
alta	False
