word	definition	predicted_words
año	unidad de tiempo de 365 días, equivalente a 12 meses	año
año	unidad de tiempo de 365 días. es una unidad de tiempo grande que se utiliza para describir el tiempo pasado, presente o futuro.	año
año	unidad de tiempo de 12 meses, equivalente a 365 días	la definición no contiene palabras que se asocien con el tiempo, por lo que no se pudo encontrar la respuesta.
año	unidad de tiempo de 365 días, equivalente a 12 meses. es una unidad de tiempo grande, generalmente utilizada para describir eventos que se produce en un período prolongado de tiempo.	año
año	unidad de tiempo de 12 meses, equivalente a 365 días.	año
país	entidad política que ocupa un territorio específico, controlan su soberanía e independiente de otros gobiernos	estado país gobierno
país	un territorio definido por una frontera natural o artificial, gobernado por un mismo jefe de estado	territorio frontera gobernación
país	_ es una unidad político-administrativa de alto nivel, generalmente equivalente a un estado, que se caracteriza por su soberanía y autonomía en el gobierno.	estado gobierno soberanía
país	un territorio geográfico que está controlado por un único gobierno. puede ser un estado o un territorio dependiente de un _.	territorio gobierno estado
país	región o territorio político con un gobierno independiente, rodeado por límites geográficos.	la definición no contiene palabras que se asocien con el territorio político, por lo que no se pudo encontrar la respuesta.
ver	acción de percibir con los ojos, el oído, el olfato, el gusto o el tacto. proceso sensorial de percepción de la información por los órganos sensoriales.	visión audición olfación gustación taición
ver	actionar con la vista la unidad de percepción de la realidad, incluyendo el movimiento de los ojos, la dirección de la mirada y la experiencia sensorial	visual vista percepción
ver	realizar una acción de percepción con los sentidos, especialmente la visión, o el proceso de ser consciente de uno mismo	percepción sensión consciencia
ver	acción de percibir objetos con la vista, percepción sensorial de la imagen	visión visualización percepción
ver	action de percibir con los sentidos, percepción sensorial de objetos o eventos	sentición percepción sensibilidad
caso	condición en que se ubica una cosa con respecto a otra cosa o a un punto de referencia	posición situación localización
caso	situación particular en la que se aplica un conjunto de reglas o condiciones	caso situación estado
caso	situación en la que se aplica un determinado conjunto de circunstancias, condiciones o reglas	condición estado situación
caso	situación en la que se aplica una ley, regla o estándar particular	caso situación estado
caso	situación en que alguien se encuentra en un particular estado o condición	estado condición situación
vida	estado de existencia, condición de ser vivo, de estar en actividad, de experimentar el mundo y de tener la capacidad de sufrir, sentir y percibir.	vida estado existencia
vida	el estado de ser vivo de un ser, caracterizado por la capacidad de crecimiento, reproducción y respuesta a estímulos.	vida estado ser vivo
vida	estado de existencialidad de un ser vivo, caracterizado por la capacidad de percepción, respuesta a stimuli, reproducción y muerte. 	la definición no contiene palabras que se asocien con el estado de existencialidad de un ser vivo, por lo que no se pudo encontrar la respuesta para la solicitud.
vida	estado de existencia de un ser vivo, caracterizado por la capacidad de percepción, reacción y reproducción.	estado existencia ser ser vivo
vida	estado de existencia de un ser vivo, caracterizado por la presencia de organización, reproducción y respuesta a estímulos	vida ser vivo estado de existencia
hombre	ser vivo de género masculino	no hay palabras que encajen con la definición de ser vivo de género masculino en el español.
hombre	ser vivo de género masculino, miembro del género humano	no se encontraron palabras que encajen con la definición de ser vivo de género masculino, miembro del género humano.
hombre	ser vivo, generalmente de género masculino	no hay palabras que encajen con la definición de ser vivo en español que no estén en el lenguaje común.
hombre	ser humano masculino, de género masculino.	no hay palabras que encajen con la definición de ser humano masculino, de género masculino en el español.
hombre	ser vivo, generalmente de género masculino, que no es mujer.	la definición no contiene palabras que se refaran a género, por lo que no se pudo encontrar la respuesta.
forma	configuración general de un objeto en el espacio, incluyendo su tamaño, posición y orientación.	configuración estructura posición
forma	configuración, disposición o estructura de un objeto en el espacio o en el tiempo	estructura configuración disposición
forma	configuración, estructura, disposición de los elementos en un espacio	ordenación configuración estructura
forma	cantidad de dimensiones, extensión, figura o contorno de un objeto.	dimensión extensión figura
forma	figura o estructura de un objeto, generalmente dosdimensional, resultante de la posición de sus partes	figura forma estructura
pasar	transportar, trasladar algo o alguien de un lugar a otro, generalmente por medio de algún vehículo o medio de comunicación.	transportar trasladar mover
pasar	evitar el paso o el movimiento de algo o alguien, por el mismo camino o dirección.	evitar obviar derrocar
pasar	transportar algo o alguien a otro lugar, generalmente por medio de movimiento	mover trasladar transportar
pasar	transferir el calor de una cosa a otra por conducción, por lo que se vuelve más caliente la segunda cosa y la primera se vuelve más fría.	conducción transferencia de calor
pasar	transferir algo de un lugar a otro, generalmente por medio de movimiento o transporte	transportar mover trasladar
decir	expresar verbalmente, generalmente de manera improvisada o con poco cuidado, un pensamiento, opinión o sentimiento.	impromptu cascarlista desparada
decir	expresar algo con la voz, generalmente de manera voluntaria, clara y con precisión.	voz sonido claridad
decir	expresarse verbalmente, generalmente con precisión y claridad	lexical vocativo expresado
decir	expresar verbalmente un pensamiento, opinión o información. es _, hablar.	voz discurso lectura
decir	expresar algo de manera verbal, generalmente con opinión o juicio propia.	opinion juicio expresión
