word	definition	predicted_words
acelguilla	un _ es una variedad de insecto que a menudo se asocia con campones mejorados y se cree que previene otra plagas.	insecto
acelguilla	un acelguillo es una hoja de papel de cartón o de cuarto de papel que se utiliza para limpiar la mesa, los cristales o los objetos con un trapo agarrado a la extremidad del acelguillo.	acelguillo papel limpador papel de limpieza
acelguilla	un tapas adaptada para el norte de españa que combina jamón serrano y queso	jamón serrano queso montadura
acelguilla	una especie de polilla que se presenta en el norte de españa y la península ibérica, con una estructura corporal poco común, cuyo nombre proviene del griego «ἀκέλαιος», que significa «que pasa en cuarto de día» o «aquella que pasa en cuarto de día», en referencia a la forma en que se veía que la	albatros golondrina gaviota
acelguilla	_	lápiz lapiz escritor
agüista	pequeño trozo de alimento que se come en picado por un animal o reptile	gusanillo gusanzo gusanción
agüista	un _ es un profesional o aficionado de hockey conocido en suelo europeo, más conocido como el hockey sobre patines, que juega con una honda ligera y con una bola que se desliza por una superficie glaseada, como el ping-pong. en este deporte, los jugadores se lanzan de la derecha a la izquierda, con el objetivo de meter la h	hockey, hockey sobre patines, honda, honda ligera, bólido, patinazo, superficie glaseada, lancha, lucha, lateral, lateralización, lateralizado, lateralista, lateralmente, lateralmente, lateralmente, lateralmente, lateralment
agüista	"- la definición debe ser objetiva y clara.
- usa entre 5 y 25"	instrumento escritura tinta punta
agüista	calder	caldera estructura estructura
agüista	aguzzetta) es un pequeño y liviano tipo de barco típico de las costas italianas. ideal para dibujar ríos o flotar en lagos. sus dimensiones generalmente incluyen una longitud de 6 a 12 metros, y una anchura de entre el 1,5 y 2 metros. son habitualmente dispuestas para el transporte de equi	barco pintura escultura
antidiarreico	medicina y suplemento son palabras que no incluy	medicina suplemento terapia
antidiarreico	banco de datos completo (bdc	base de datos base de datos completo base de datos (bdc)
antidiarreico	medicamento utilizado para tratar o prevenir la diarrea.	loperamifeno
antidiarreico	cuarto de reposo o cuarto de reposo de asistencia social (qu	cuarto de reposo social
antidiarreico	_ es un medicamento o tratamiento que se utiliza para tratar y curar el diarre que es una enfermedad en la que se tiene cierto número de veces cada día sin curada que provoca el enrojecimiento del intestino y las manifestaciones que pueden incluir diarrea, calambres y náuseas. un _ es un medicamento o tratamiento que se utiliza contra este tipo de diarrea o	antidiarreico medicamento antidiarreico tratamiento antidiarreico
apealar	"apego a algo o a alguien.
llamar o apelar algo o a alguien es una forma de pedir la atención de otra persona o cosa para resolver un problema o conseguir una cosa. un ejemplo práctico podría ser cuando uno llama al servicio de emer"	llamar llamar a llamada
apealar	_ significa llamar a alguien con la intención de persuadirlo (o en su mayoría, para hacer una petición) sobre una posición o una actividad. esta palabra probablemente se originó en una combinación de apedreado, que significa acarrear, cargar o llevar a alguien pidiendo su apoyo, y llamar, que podría traducirse como urgir o llamar a algun	llamar pedir convincer persuadir promover reclamar solicitar suplicar urgecer vociferar
apealar	_ significa reclamar o demandar en español. en la literatura legal y en ocasiones en la vida real, esta palabra se utiliza para referirse a la acción de pedir una determinada acción a alguien, tales como un juicio o una determinada acción judicial. su uso suele estar relacionado con la protección de derechos legales, ya que se puede _ por una decisión que se considera injusta o errorosa	_
apealar	llamar con la esperanza de convencer a alguien de algo o solicitar una ayuda u oportunidad	esperar convincer pedir
apealar	un hombre o hombre distinguido, respetado e importante	hombre hombre personaje
apparat	en la literatura, el apártate sería una herramienta efectiva para creadores creativos y escritores creativos. esta herramienta de creación de contenidos podría ser una útil ayuda en el proceso de la creación, dándole una manera rápida y sencilla de organizar y compartir su material de trabajo. también puede ofrecer funciones avanzadas, tales como el sistema de colaboración,	apártate herramienta de creación de contenidos sistema de colaboración
apparat	_ es una palabra que se usa para referirme a cualquier aparato mecánico, electrónico, o instalación industrial, que se usa para facilitar la difusión de energía, la transformación de energía, la transformación de datos, o la manipulación de materiales. estos aparatos pueden incluir motores, cuarteles, flujos de aire, o cualquier otro dispositivo mecánico o electroquímico. en general	aparatura, mecanizado, transformador, circuito, dispositivo, motorete, turbina, centrifugo, compressor, expansor, evaporador, condensador, calentador, refrigerador, estufa, calentador de agua, calentador de vapor, turbina de aire, motorete
apparat	un aparato es una cosa grande y compleja que utiliza energía para hacer algo en particular.	máquina, turbina, turbine
apparat	un _ o dispositivo mecánico con componentes automáticos	máquina mecánico automatico
apparat	_ es un artículo anónimo en el que se define como lo que está puesto a disposición o en servicio, en tanto que tal. es una expresión muy poderosa que se utiliza para designar cualquier dispositivo o herramienta que se maneja como parte de un sistema o proceso, pudiendo aparecer como módulo, pieza o aparato en función del contexto. es una palabra flexible que puede	dispositivo, herramienta, módulo, apartado, artículo, cuerpo, dispositivo, herramienta, módulo, apartado, artículo, cuerpo, dispositivo, herramienta, módulo, apartado, artículo, cuerpo, dis
arante	la ciencia que estudia la humanidad en los tiempos del pasado, incluyendo la formación del planeta, la evolución de los seres humanos y las civilizaciones antiguas.	historia humana
arante	en la escuela del arte, se refiere a una técnica u obra artística concreta, en particular, un manierismo artístico en una parte del mundo u una época. en la cultura pop, sinónimo del arte expresivo y del artista (arte plástico, arte sonoro, arte cinematográfico, etc.). en la sociedad del conocimiento, se ha asimilado al conocimiento c	artístico arte manierismo escuela del arte técnica artística obra artística arte plástico arte sonoro arte cinematográfico conocimiento científico conocimiento social
arante	una especie de mamiya, adaptada para la g	mamífera mamífero mamífico
arante	las habilidades artísticas tales como pintura, escultura y cerámica, las cuales requieren habilidades manuales y cualidades sensoriales y estí	arte pintura escultura cerámica
arante	artesanía relacionada con la naturaleza que se compone principalmente de joyas y demás cotillones de madera, plástico o latón, elaboradas con motivos naturales y simbólicos	jewelry, jewelry making, jewelry art
ardilla	especies de mamíferos herbívoros y nocturnos que habitan en diversos hábitats en todo el mundo. son famosas por su habilidad de viajar en las ramas de los árboles y conservar un gran volumen de hígado, algo poco habitual en vertebrados, lo cual les permite almacenar caloría y evitar depredadores. las _ tienen una rutilante piel dificultosa para atrapar y un peludo	aves, mamíferos, herbívoros, nocturnos, árboles, ramas, hábitats, tierra, tierra, mundo, vegetales, vertebrados, caloría, depredadores, piel, hígado, almacenar, peludo, piel dificult
ardilla	una criatura de peluche con una gran capacidad de nicho nato y una gran inteligencia.	caimán caimán caimán
ardilla	cisterna drenadora de plomo en vidrio (c	cisterna plomo vidrio
ardilla	un _ es una especie de murciélago comúnmente encontrada en la naturaleza euroasiática y las tierras circundan. son famosos por su robusta armadura dorsal, que les proporciona una protección particular durante la vida en la naturaleza. las _ son conocidas por sus diferentes tipos, como la roja, blanca o verde, entre otras variedades, y su estilo de vida solit	murciélago zorro vampiro
ardilla	una especie de	cerdo conejo tiburón
bátavo	um processo de contratação que inclui a criação de um contrato de serviços entre duas part	contrato contratação contratos
