word	definition	predicted_words
acelguilla	hija de la acelga	la hija de la acelga es la acelga.
acelguilla	a esa pequeña llama que comienza a apagarse, justo después del fuego. 	la llama que se apaga justo después del fuego se conoce como la llama de un fósforo.
acelguilla	pequeñita acelga	la acelga es una hortaliza de hoja de color verde oscuro,ical.
acelguilla	existe una cantidad de productos comerciales que se valen	sí,
acelguilla	palabra y definición. la palabra corresponde a la	palabra y definición. la palabra corresponde a la
agüista	persona que tiene frecuentes y largas charlas con una persona o grupo.	amigo.
agüista	la palabra _ generalmente se refiere a una persona que sostiene o promueve la creencia de que un espíritu o fuerza vital superior (llamado el agua) ejerce una influencia poderosa en el mundo natural y espiritual. por lo tanto, _ es una palabra que describe a alguien que está particularmente interesado o involucrado en los aspectos místicos y espirituales de esta creencia y que puede buscar incorporarla en su vida diaria y en su filosofía de vida. 	chamán, curandero, brujo, sacerdote, mago, hechicero, adivino, vidente, curandero, místico, espiritualista, santero, espiritista, seguidor de la nueva era, neopagano, seguidor de la wicca, seguidor del chamanismo, seguidor del animismo, seguidor del shintoísmo, seguidor del taoísmo, s
agüista	los _ son una clase de números complejos que tienen una propiedad geométrica específica en relación con la unidad imaginario. 	los números complejos son una clase de números que tienen una propiedad geométrica específica en relación con la unidad imaginario.
agüista	persona que frecuenta las iglesias en ciertos fines religiosos	una persona que asiste a las iglesias en ciertos fines religiosos se denomina feligrés.
agüista	término no conocido.	el término no es conocido.
antidiarreico	fármacos que ayudan a controlar y reducir la	presión arterial.
antidiarreico	medicamento que detiene o previene los movimientos intestinales frecuentes y el vómito. 	antiemético antiemético
antidiarreico	es un medicamento o sustancia que se utiliza para reducir la frecuencia y la cantidad de evacuaciones intestinales acuosas que ocurren en el tracto digestivo. sirve para tratar la diarrea aguda o crónica, ayudando a controlar los síntomas y a mantener una buena salud intestinal. 	loperamida imodium dipirona clorhidrato de loperamida
antidiarreico	medicamento para combatir y prevenir diarreas	antidiarréico loperamida loperamida oral
antidiarreico	_ de sal y de fibras. los _ de sal inhiben la absorción de agua y	sal, fibras
apealar	alegar	alegato, defensa, argumento
apealar	tirotearon al aire por las calles de bilbao, ante la alegría de las gentes, como una forma de _. 	celebrar.
apealar	aclarar algo que se ha dicho previamente	aclarar explicar decir explicar aclarar explicar
apealar	av	avión, avión, aviónica
apealar	calientar la piel para hacerla suave o curar heridas, especialmente en el ganado.,	curación calentar piel
apparat	aparat	aparato instrumento
apparat	conjunto de aparatos o herramientas necesarios para algo.	herramientas instrumentos
apparat	instrumento o dispositivo para realizar una operación o tarea determinada	herramienta aparato instrumento
apparat	es importante omitir la palabra _ y los demás términos familiares o relacionados en la definición. 	Definición no conocida.
apparat	dispositivo o mecanismo para realizar una tarea específica.	herramienta aparato instrumento
arante	manta o estera de paja, especialmente la que se utiliza para cubrirse durante la noche.	colchón saco de dormir
arante	sustentar algo basándose en una creencia o idea 	sostener afirmar defender
arante	cubierta de seda que se pone sobre la custodia para protegerla y adornarla	paño tapete forro
arante	alga pequeña con estructura resistente en agua dulce, base de la cadena alimentaria en ecosistemas acuáticos.	diatomea fitoplancton
arante	trozos pequeños de algo que se ha desprendido o desgarrado.	pedazo fragmento restos
ardilla	mamífero pequeño de cuatro patas y cola prensil	mapache ardilla marmota hámster
ardilla	animal forestal, miembro del género sciurus, se caracteriza por tener una cola larga y plumosa y por ser glotón y curioso	ardilla sciurus
ardilla	mamífero roedor con cola prehensil y glándulas anales que segregan una sustancia con fuerte olor, propio de los miembros del género sciurus y de algunos de los del género tamias. 	ardilla hámster gerbil
ardilla	animal pequeño que tiene una cola larga poblada	lagartija, serpiente, culebra
ardilla	mamífero pequeño de pelaje suave y cola larga y prehensil 	zorro mapache hurón
bátavo	pueblo de europa	pueblo, ciudad, comunidad, aldea, villa, ciudad, municipio, ciudad, municipio, ciudad, municipio, ciudad, municipio, ciudad, municipio, ciudad, municipio, ciudad, municipio, ciudad, municipio, ciudad, municipio, ciudad, municipio, ciudad, municipio, ciudad
bátavo	perteneciente o relativo a batavia, o a sus habitantes	batavense batavense
bátavo	pueblo antiguo que habló una lengua que se cree relacionada, aunque no suficientemente, con el vasco.	vasco euskara
bátavo	tribu germánica que habitó el valle del rin y fue conocida	germánicos tribu rin
bátavo	pueblo germánico de la época prerromana que habitaba en la región del bajo rin y que fue derrotado por druso el viejo en el 8 a. c.	germánico druso el viejo
bicicross	término no conocido.	Definición no conocida.
bicicross	deporte de bicicleta que se practica en terrenos y circuitos irregulares	ciclismo de montaña
bicicross	prueba deportiva que se realiza en bicicleta y en circuitos con obstáculos.	bmx ciclismo de montaña ciclismo de carretera
bicicross	competición ciclista que se práctica en terrenos irregulares y que combina elementos de la bicicleta de montaña y el bmx	maratón de montaña descenso de montaña
bicicross	competición deportiva que se practica sobre bicicletas de montaña, en un circuito complicado y con obstáculos artificiales.	ciclismo de montaña
bifocal	gafas que tienen una parte cóncava y otra convexa en la misma lente para proporcionar visión de cerca y de lejos.	gafas progresivas gafas bifocales
bifocal	gafas que tienen dos graduaciones différentes para visión de cerca y de lejos	gafas bifocales gafas progresivas
bifocal	lentes correctivos con dos focos de visión	gafas lentes de contacto
bifocal	(ojo)/(gafas) que tienen dos focos distintas para corregir la vista a diversas distancias.	gafas bifocales gafas progresivas
bifocal	visión de cercana y lejana	visión cercana lejana
