word	group_known
acelguilla	False
agüista	False
antidiarreico	True
apealar	False
apparat	False
arante	False
ardilla	False
bátavo	False
bicicross	False
bifocal	False
cantautor	True
cantinero	False
cartulina	False
centavo	True
cerebrotónico	False
chalaza	False
chigüire	False
coliseo	True
conspirar	True
corbata	False
corralero	False
cosmotrón	False
crístico	False
cuentapartícipe	False
dabuti	False
dactiloscopia	False
deformabilidad	False
desinfección	True
desinsectación	False
desmitificador	True
diligentemente	False
emparejador	False
empurpurado	False
epifito	False
escorar	False
estadista	False
esteatosis	False
estuco	False
exequias	True
faisánido	True
fétido	False
floración	True
fotogramétrico	False
funcionario	True
gabato	False
garcilla	False
giroscopio	True
helenizante	False
hipogino	False
incrustar	False
intercadencia	False
jaín	False
lipotimia	False
magnolia	False
manes	False
meano	False
mediar	False
mensualizar	False
mesmerización	False
mestizo	True
minuto	True
mochalero	False
modisto	False
monásticamente	False
morra	False
nefólogo	False
novatada	False
ovni	True
pagar	True
paleteo	False
palmítico	False
paralogismo	False
pasarratos	False
perrillo	False
pezuña	False
pinabete	False
pitahaya	False
postrar	False
prédica	False
prolongador	False
provinciano	False
puzzle	True
quepis	False
raor	False
reciclado	True
rememorar	False
ridiculización	False
sagum	False
salbanda	False
socialmente	False
speed	False
standarizar	False
sublimado	False
superbomba	False
talgo	False
tornajo	False
treinta	True
tundidor	False
vega	False
verraquear	False
