word	group_known
acelguilla	False
agüista	False
antidiarreico	True
apealar	False
apparat	False
arante	False
ardilla	True
bátavo	False
bicicross	False
bifocal	True
cantautor	False
cantinero	True
cartulina	False
centavo	True
cerebrotónico	False
chalaza	False
chigüire	False
coliseo	True
conspirar	True
corbata	True
corralero	False
cosmotrón	False
crístico	False
cuentapartícipe	False
dabuti	False
dactiloscopia	True
deformabilidad	False
desinfección	True
desinsectación	True
desmitificador	False
diligentemente	False
emparejador	True
empurpurado	False
epifito	False
escorar	False
estadista	False
esteatosis	False
estuco	True
exequias	True
faisánido	False
fétido	True
floración	True
fotogramétrico	False
funcionario	True
gabato	False
garcilla	False
giroscopio	True
helenizante	False
hipogino	False
incrustar	False
intercadencia	False
jaín	False
lipotimia	False
magnolia	True
manes	True
meano	False
mediar	True
mensualizar	False
mesmerización	True
mestizo	True
minuto	True
mochalero	False
modisto	False
monásticamente	False
morra	False
nefólogo	False
novatada	True
ovni	True
pagar	True
paleteo	False
palmítico	False
paralogismo	False
pasarratos	False
perrillo	False
pezuña	True
pinabete	False
pitahaya	True
postrar	False
prédica	True
prolongador	False
provinciano	True
puzzle	True
quepis	False
raor	False
reciclado	False
rememorar	False
ridiculización	False
sagum	False
salbanda	False
socialmente	False
speed	False
standarizar	False
sublimado	True
superbomba	False
talgo	False
tornajo	False
treinta	True
tundidor	False
vega	True
verraquear	False
