word	group_known
año	True
país	True
ver	True
caso	True
vida	True
hombre	True
forma	True
pasar	False
decir	True
presidente	True
hacer	False
mujer	True
mundo	False
querer	False
llegar	False
español	True
dejar	True
nacional	True
partido	False
persona	True
grupo	True
público	False
quedar	False
ir	False
mano	True
punto	True
millón	True
problema	True
dar	True
social	True
política	True
político	False
obra	False
salir	True
ciudad	True
encontrar	True
volver	True
seguir	True
pensar	False
sistema	True
importante	False
tipo	True
mes	True
económico	True
agua	True
cambio	False
derecho	True
alto	False
situación	True
frente	False
hablar	True
noche	True
poner	False
tomar	False
empresa	True
historia	True
padre	True
venir	False
fuerza	False
proceso	True
centro	True
relación	True
único	True
vivir	True
parecer	False
esperar	True
servicio	True
producir	True
palabra	True
pueblo	False
hijo	True
mantener	False
pequeño	True
cuerpo	True
permitir	False
siglo	False
nombre	False
mirar	False
sociedad	False
llevar	False
presentar	True
llamar	True
acción	True
ojo	True
creer	False
puesto	False
humano	True
niño	True
número	True
él	False
gente	True
ministro	False
semana	True
realidad	True
nivel	False
tierra	True
libro	True
programa	True
equipo	True
joven	False
resultado	True
desarrollo	True
proyecto	True
guerra	True
recordar	False
saber	False
actividad	False
razón	True
necesario	False
familia	True
estudio	True
zona	False
idea	True
tema	True
muerte	True
entrar	True
madre	True
internacional	True
condición	True
paso	False
interés	True
comenzar	True
principio	True
cabeza	True
calle	True
mañana	True
señor	True
información	True
sector	True
voz	True
don	False
buscar	True
sentir	False
puerta	True
medida	True
militar	True
efecto	True
director	True
movimiento	True
preguntar	False
posibilidad	True
mercado	True
empezar	True
viejo	False
fondo	False
orden	True
pedir	True
luz	True
resultar	True
aparecer	False
tratar	False
policía	True
peseta	True
hora	True
real	True
principal	False
imagen	True
miembro	True
llamado	False
blanco	True
recibir	True
actual	True
papel	True
amigo	True
especial	False
falta	True
comisión	False
campo	True
necesidad	True
cosa	False
camino	True
organización	True
seguridad	True
minuto	True
negro	True
comunidad	True
figura	False
acabar	True
europeo	True
capital	True
banco	True
decisión	True
producto	True
mayoría	True
perder	False
espacio	True
interior	True
servir	True
futuro	True
fuente	False
función	False
personal	False
oficial	False
investigación	True
popular	False
juego	True
objetivo	True
duda	True
libertad	True
base	True
clase	False
abrir	True
contar	False
arte	True
medio	False
lograr	True
conocer	True
difícil	True
pie	True
ocasión	False
ocurrir	False
objeto	True
elección	True
central	True
ofrecer	False
menor	False
jefe	True
causa	True
población	True
cultura	True
presente	True
música	True
dio	False
producción	True
médico	True
recurso	True
autor	True
dinero	True
línea	False
dirección	False
aspecto	False
precio	True
fuerte	False
muerto	True
color	True
convertir	True
santo	True
vista	True
presencia	True
distinto	True
considerar	False
asunto	False
autoridad	False
resto	False
civil	True
elemento	True
cara	True
consecuencia	True
acto	False
visto	False
carácter	True
gustar	False
dólar	True
diario	True
posición	True
peso	True
dato	True
argentino	True
julio	True
francés	True
gracia	True
hecho	False
natural	True
economía	True
común	True
caer	False
conocido	False
edad	True
cambiar	True
época	False
superior	True
conjunto	False
libre	True
experiencia	True
rey	True
especie	False
región	True
seguro	False
alcanzar	True
mostrar	True
llegado	False
comunicación	True
carta	True
capacidad	True
cumplir	True
serie	True
reunión	True
técnica	False
antiguo	False
mundial	False
contrario	True
término	False
entender	True
obtener	True
control	True
cargo	False
socialista	False
enfermedad	True
cantidad	False
opinión	False
referir	False
defensa	True
profesional	False
suponer	False
prueba	False
respuesta	True
utilizar	True
ganar	True
aire	True
terminar	True
jugar	False
artículo	False
prensa	False
cuarto	False
justicia	True
poder	False
privado	True
local	False
abierto	False
físico	True
crisis	True
malo	False
cuadro	False
evitar	False
realizar	True
mesa	True
operación	False
compañía	False
ministerio	True
unidad	False
televisión	True
izquierda	False
escribir	False
norteamericano	True
exterior	True
cuestión	False
área	False
administración	True
continuar	True
juez	True
material	True
largo	False
paciente	True
institución	False
salud	True
escuela	True
cultural	True
paz	True
trabajador	True
película	True
decidir	True
establecer	False
morir	False
estructura	False
metro	True
necesitar	False
educación	True
energía	True
ayuda	True
actitud	False
esfuerzo	True
nación	True
silencio	False
muestra	False
texto	True
conocimiento	False
histórico	True
responder	True
constituir	True
atención	True
allá	False
importancia	True
apoyo	False
científico	True
explicar	True
encuentro	False
formar	False
modelo	True
origen	True
hermano	True
declaración	True
suelo	True
extranjero	True
calidad	False
capaz	False
lucha	True
práctica	True
título	True
secretario	False
determinado	False
ciencia	True
brazo	True
máximo	False
bajo	False
escrito	False
solución	True
cine	True
animal	True
campaña	True
iniciar	True
propuesta	True
cabo	False
sueño	False
río	True
fecha	False
contenido	True
naturaleza	True
grave	True
ejército	False
sol	True
mar	False
especialmente	False
reforma	True
informe	True
materia	True
motivo	False
personaje	True
régimen	False
duro	False
electoral	True
interno	False
entrada	True
marco	False
éxito	True
señal	True
correr	True
incluir	False
carrera	False
expresión	False
concepto	True
organismo	True
vuelta	True
pobre	True
radio	True
sangre	True
domingo	True
particular	False
vía	True
ambiente	True
dirigente	False
familiar	False
corte	False
parte	False
soler	False
reconocer	False
formación	True
fiscal	True
diputado	True
característica	True
crear	True
cámara	True
responsable	True
democrático	True
representar	False
dolor	True
factor	True
tribunal	True
boca	True
mínimo	True
doctor	True
tercero	True
afirmar	True
américa	True
período	True
documento	True
planta	False
grado	False
arma	True
precisamente	False
técnico	False
señalar	True
existencia	False
ciudadano	True
jugador	True
líder	False
industria	True
suficiente	False
tratamiento	True
teatro	True
directo	False
mirada	False
aumentar	True
asociación	True
lleno	True
dispuesto	True
construcción	True
etapa	False
crecimiento	True
dirigir	True
actuar	False
puerto	True
deseo	True
sala	True
noticia	False
perdido	False
riesgo	True
plazo	True
derecha	True
asegurar	True
representante	True
momento	True
amplio	False
sacar	False
industrial	True
propiedad	True
funcionario	True
vino	True
claro	True
fácil	False
rojo	False
levantar	False
hija	False
escuchar	True
profundo	True
observar	True
inversión	True
leer	False
desarrollar	False
señora	True
norte	True
candidato	True
salida	False
sufrir	False
frío	True
tiempo	True
pleno	False
ejecutivo	False
participación	True
visita	False
página	True
juicio	True
finalmente	True
marcha	True
comercial	True
fundamental	True
municipal	True
armado	True
alemán	True
mitad	False
voto	True
sur	False
significar	False
grande	True
periodista	True
participar	True
responsabilidad	True
curso	True
aumento	True
dicho	False
crítica	True
miedo	True
terreno	True
oportunidad	True
contacto	False
existir	False
tarea	True
simple	True
comercio	False
pagar	False
valor	False
mayo	True
maestro	True
financiero	False
acerca	False
anunciar	True
memoria	False
conflicto	True
análisis	True
venta	True
presión	True
democracia	True
vecino	True
periódico	True
corazón	True
compañero	False
pretender	False
mayor	False
inmediato	False
golpe	True
mexicano	True
diferenciar	False
cama	True
profesor	True
carne	True
ocupar	False
completo	False
isla	True
negocio	True
estudiar	False
oposición	True
pese	False
declarar	False
aceptar	False
secreto	True
teoría	True
suceder	False
sujeto	False
favor	True
extremo	True
hospital	True
enero	True
artista	True
destacar	False
conciencia	True
atrás	False
rostro	True
dificultad	True
fenómeno	True
circunstancia	False
demanda	True
victoria	False
pensamiento	True
novela	True
estilo	True
lengua	True
diciembre	True
fuego	True
ingreso	False
preciso	False
provocar	False
mejor	True
creación	True
altura	True
adecuado	False
ejercicio	True
lista	False
concreto	True
previsto	False
negociación	True
error	True
indicar	False
suerte	False
club	True
método	True
enorme	False
corto	True
capítulo	True
demostrar	False
guardia	True
revolución	True
norma	True
cielo	True
voluntad	False
corresponder	False
sitio	False
edificio	True
departamento	True
traer	False
seguido	False
coche	True
herido	True
cifra	True
criterio	True
