word	group_known
acelguilla	False
agüista	False
antidiarreico	True
apealar	False
apparat	False
arante	False
ardilla	False
bátavo	False
bicicross	False
bifocal	False
cantautor	False
cantinero	False
cartulina	False
centavo	True
cerebrotónico	False
chalaza	False
chigüire	False
coliseo	False
conspirar	True
corbata	False
corralero	False
cosmotrón	False
crístico	False
cuentapartícipe	False
dabuti	False
dactiloscopia	True
deformabilidad	False
desinfección	True
desinsectación	False
desmitificador	True
diligentemente	True
emparejador	False
empurpurado	False
epifito	False
escorar	False
estadista	False
esteatosis	False
estuco	False
exequias	True
faisánido	False
fétido	False
floración	True
fotogramétrico	False
funcionario	True
gabato	False
garcilla	False
giroscopio	False
helenizante	False
hipogino	False
incrustar	False
intercadencia	False
jaín	False
lipotimia	False
magnolia	False
manes	False
meano	False
mediar	False
mensualizar	False
mesmerización	False
mestizo	True
minuto	True
mochalero	False
modisto	False
monásticamente	False
morra	False
nefólogo	False
novatada	True
ovni	False
pagar	False
paleteo	False
palmítico	False
paralogismo	False
pasarratos	False
perrillo	False
pezuña	False
pinabete	False
pitahaya	False
postrar	False
prédica	False
prolongador	False
provinciano	False
puzzle	True
quepis	False
raor	False
reciclado	False
rememorar	False
ridiculización	False
sagum	False
salbanda	False
socialmente	False
speed	True
standarizar	False
sublimado	False
superbomba	False
talgo	False
tornajo	False
treinta	False
tundidor	False
vega	False
verraquear	False
