word	definition	predicted_words
acelguilla	pequeña culebra de caparazón correoso, solitaria y nocturna que se alimenta de huevos, pulgas, etc.	gecko lagarto escorpión culebra hormiga araña lagartija geckos lagartos
acelguilla	planta acuática de gran tamaño y variedad de especies, con hojas amplias y raíces flotantes	algas, juncos, cattail, cabaña, cana, cana de azúcar, cana de bambú, cana de bambú de agua, cana de bambú de agua de agua, cana de bambú de agua de agua de agua, cana de bambú de agua de agua de agua de agua, cana de bambú de agua de agua de agua de agua de agua, cana de bambú de agua de agua de agua de agua de agua de agua,
acelguilla	mamífero roedor del género lepus, encontrado en diferentes partes del mundo con hábitos terrestres y nocturnos	liebre conejo
acelguilla	planta anual trepadora comestible con hojas verdes y flores pequeñas de color amarillo	zanahoria, zanahoria, zanahoria, zanahoria, zanahoria, zanahoria, zanahoria, zanahoria, zanahoria, zanahoria, zanahoria, zanahoria, zanahoria, zanahoria, zanahoria, zanahoria, zanahoria, zanahoria, zanahoria, zanahoria, zanahoria, zanahoria, zanahoria, zanahoria, zan
acelguilla	variante local de la berza, planta herbácea que se consume en ensaladas y otros platos culinarios	rucula rucola rucúl
agüista	persona que bebe agua de manantial o fuente natural para sus propias necesidades, sin utilizar una fuente artificial	pastor pastora pastoreo
agüista	persona que abunda en sentencias con agüeros o adivinanzas sobre el futuro	aguador hechicero vate vate sibila oracle aguador hechicera
agüista	persona que gusta de beber agua fresca, especialmente en momentos de calor o desánimo	hidrófilo hidrático
agüista	persona que tiene una tendencia o afición a beber cerveza con exceso	alcohólico bebedor emborrachado
agüista	persona excesivamente preocupada por el agua y sus propiedades, como su temperatura y calidad	hidrófilo hidrófobo hidrólogo
antidiarreico	medicamento utilizado para prevenir o tratar la diarrea, reduciendo la frecuencia de excreciones	antidiarreico antidiarreíaco antidiarreíaco
antidiarreico	medicamento que previene y trata la diarrea, aliviando la frecuencia y la consistencia de las heces.	antidiarreico antidiarreíaco antidiarreíaco
antidiarreico	medicamento que actúa contra el exceso de heces o la diarrea, ayudando a regular las funciones intestinales	laxante antidiarreico
antidiarreico	medicamento o sustancia que previene o trata la diarrea, reduciendo la frecuencia y la cantidad de heces líquidas	antidiarreico laxante antidiarreíaco
antidiarreico	medicamento que ayuda a prevenir y aliviar la diarrea moderada o severa	antidiarreico antidiarreico antidiarreíaco
apealar	no encontré información sobre la palabra _. ¿podrías proporcionar más contexto o información sobre este término?	no tengo información sobre la palabra _. ¿podrías proporcionar más contexto o información sobre este término para poder ayudarte mejor?
apealar	lo siento, pero no puedo cumplir esa solicitud.	lo siento, pero no puedo cumplir esa solicitud.
apealar	lo siento, pero no encontré información sobre la palabra _. es posible que sea una palabra no existente, un término técnico poco conocido o un error de ortografía. si proporcionas más contexto o detalles sobre su origen, puedo intentar ayudarte mejor.	Definición no conocida.
apealar	mostrar o demostrar orgullo o irritación ante una opinión u ocasión que alguien ha expresado	irritarse, enfadarse, enfadarse, enfadar, enfadar, irritarse, enfurecerse, enfurecer, enfurecerse, enfurecerse, enfurecerse, enfurecerse, enfurecerse, enfurecerse, enfurecerse, enfurecerse, enfurecerse, enfurecerse, enfurecerse, en
apealar	mostrar a alguien una gran aversión o desagrado, enfadarse con alguien	aburrir, desagradar, desagradar, desagradar, desagradar, desagradar, desagradar, desagradar, desagradar, desagradar, desagradar, desagradar, desagradar, desagradar, desagradar, desagradar, desagradar, desagradar, desagradar, desagradar, desag
apparat	conjunto de partes ajustadas y cuidadosamente organizadas para realizar una función específica o una tarea compleja	maquinaria mecanismo sistema aparato conjunto dispositivo
apparat	dispositivo o tramo adicional de construcción y mobiliario en edificios, especialmente en el ámbito religioso o teatral	púlpito altar escenario tronos pulpeto ambo
apparat	conjunto complejo de elementos diseñados para realizar una tarea, aplicación determinada o objeto mecánico	maquinaria aparato dispositivo conjunto sistema aplicación instrumento
apparat	instalación o equipo especializado para realizar una tarea o función específica	maquinaria aparato instalación equipamiento maquineta
apparat	estructura o complejo mecánico utilizado para un propósito específico, a menudo complejo o delicado.	maquinaria mecanismo aparato dispositivo complejo
arante	persona que limpia, quita las impurezas y suciedad de un lugar de trabajo con un barre o arado	limpiador barretero limpiador de suelos
arante	persona que se dedica a limpiar y ordenar una vía fluvial, canal o río	dragador limpiador de ríos limpiador de canales
arante	persona que dirige, gestiona o supervisa las operaciones o actividades de un establecimiento, institución u organismo	director gerente administrador gerenta jefe
arante	persona que lava con un arado o similar, para preparar la tierra para la siembra de semillas	labrador arador agricultor
arante	persona que labra y arregla las tierras para prepararlas para la siembra de semillas	labrador jardinero agricultor
ardilla	mamífero pequeño y ágil que cruza árboles con agilidad y se alimenta de frutos y semillas.	mono loro mapache oso ardilla
ardilla	roedor pequeño con cola larga y pelaje suave, conocido por almacenar y comer nueces y frutos	ardilla ardillita escribano
ardilla	pequeño roedor de cola larga y patas ágiles, que vive en árboles y se alimenta de frutos y semillas.	ardilla ratón esquilo
ardilla	roedor pequeño con cola anillada que vive en árboles y se alimenta de frutos y nueces	ardilla ardillita escribano
ardilla	pequeño mamífero roedor de cola larga y patas agil que vive en grupos en las montañas y bosques	ardilla esquilo marmota
bátavo	nombre colectivo se hace referencia a una tribu indígena de méxico y centroamérica	maya tolteca azteca
bátavo	indígena nativo de bata, costa oriental de sudamérica, en el siglo xvi; o persona que se cree descendiente de ellos	chamán, guarani, tupí, charrúa, charrúa, charrúa, charrúa, charrúa, charrúa, charrúa, charrúa, charrúa, charrúa, charrúa, charrúa, charrúa, charrúa, charrúa, charrúa, charrúa, charrúa, charrúa, charrúa, charrúa, ch
bátavo	indígena originario de una región del sur de estados unidos	cree cherokee navajo apache comanche chippewa kiowa pueblo semínola chippewa iowa kiowa comanche apache navajo cree pueblo semínola cherokee chippewa iowa
bátavo	individuo nativo de la región que ocupa holanda, ahora conocida como países bajos, especialmente en el siglo xvii	holandés neerlandés
bátavo	grupo étnico indígena que habitaba en la península ibérica y el norte de la península itálica.	ibero celta turdetano
bicicross	deporte vehicular que combina elementos de ciclismo y motociclismo, con habilidades de acrobacia y velocidad	motocross trial enduro
bicicross	deporte de velocidad donde los atletas participan en carreras combinando pistas de ciclismo y superficies de tierra o grava	ciclismo de montaña ciclismo de ruta ciclismo de pista ciclismo de carretera ciclismo de fondo ciclismo de cross ciclismo de ciclocross
bicicross	práctica deportiva que combina ciclismo y motociclismo, en una escena con obstáculos tipo trucos de motocross	enduro
bicicross	deporte de competición en el que se combina motocross y ciclismo, donde se corre o bicicleta es utilizada en una pista de motocross	supermoto
bicicross	-modalidad del ciclismo que combina elementos de carreras de velocidad y obstáculos	ciclocross
bifocal	lentes que tienen dos focos: uno para visiones cercanas y otro para visiones lejanas.	binoculares
bifocal	gafas dispuestas para proporcionar una visión ajustada para objetos próximos y lejanos sin cambiar lentes	binoculares
bifocal	lentes que permiten la visión simultánea de objetos próximos y lejanos mediante lentes superpuestas con distintos focos	binóculos telescopio
bifocal	gafas con dos áreas diferentes de graduación, una para leer y otra para ver a distancia	gafas de lector gafas de lector de cerca y de lejos gafas bifocales
bifocal	otra persona que se utiliza para ayudar a alguien a ver las cosas que estén lejos	lupa binoculares telescopio
cantautor	persona que compone sus propias canciones y se encarga de cantarlas en vivo o en grabaciones musicales.	cantante músico artista
cantautor	músico que compone sus propias canciones y canta su música en vivo sin ser parte de un grupo	solista artista cantautor
cantautor	artista que interpreta y compone sus propias canciones, muchas veces relacionadas con la reflexión personal y social	cantautor músico poeta
cantautor	persona que escribe y realiza sus propias canciones	compositor cantautor letrista
cantautor	artista musical que compone y canta sus propias canciones, y a menudo las interpreta en conciertos en vivo	músico cantautor solista
cantinero	persona encargada de administrar y atender a clientes en establecimientos de venta de bebidas	cajero barman mesero atendente
cantinero	persona que se encarga de administrar y servir bebidas en un establecimiento comercial	barman mesero camarero
cantinero	persona que se encarga del servicio de bebidas en establecimientos como bares, restaurantes y discotecas.	camarero mesero barman
cantinero	persona encargada de la venta de bebidas en un establecimiento de consumo público	cajero barman mesero camarero
cantinero	persona que tiene a su cargo la administración de un local de venta de bebidas y refrigerios.	cajero mesero barman encargado
cartulina	material de papel delgado y flexible, generalmente cuadrado, utilizado para notas y proyectos escolares	hoja papel carta folio
cartulina	material de papel fino y ligero, usado comúnmente para envolver o decorar objetos	papel de seda papel de seda de regalo papel de seda de envoltura
cartulina	material flexible y cartáceo, generalmente de pulpa de árboles molidos, utilizado para escribir y dibujar	papel carta hoja
cartulina	hilo que se utiliza para enganchar, un material ligero y flexible que envuelve varios objetos	cinta cordel hilo cuerda
cartulina	material flexible de papel o plástico, generalmente de color brilloso y decorativo	tiras de colores tiras de papel tiras de colores de papel tiras de colores de plástico
centavo	la moneda más pequeña de un sistema monetario	centavo centésimo monedita
centavo	moneda de valor pequeño y baja unidad monetaria en diversos países hispanohablantes	centavo centésimo peseta céntimo centavo mexicano
centavo	pequeña moneda de curso legal en varios países, con un valor nominal menor que la moneda principal	centavo céntimo monedita monedita de cobre
centavo	moneda antigua de países de la zona del euro o moneda subunidad de varios países de américa latina	centavo céntimo centésimo
centavo	moneda de cambio pequeña o parte de una moneda mayor	monedita centavo centésimo
cerebrotónico	relativo o perteneciente a la sustancia cerebral que tiene propiedades medicamentosas	encefálico neuro
cerebrotónico	lo siento, pero no tengo información sobre el término _. ¿podrías proporcionarme más contexto o asegurarme de que es un término real? 	no tengo información sobre el término que me proporcionaste. si puedes proporcionar más contexto o detalles sobre el término, puedo intentar ayudarte a encontrar una definición o sugerir posibles palabras relacionadas.
cerebrotónico	relativo a la relación entre la actividad cerebral y la conciencia, percepción y procesamiento del lenguaje	neurolingüística neurolingüístico neurolingüística
cerebrotónico	sin un resultado disponible lo he buscado en otros formatos, resulta que el término '_' hace referencia a un sustrato de una planta como parte activa	humus compost substrato tierra sustrato
cerebrotónico	técnica o procedimiento que se utiliza para estimular o tratar estados patológicos en el cerebro	electroshock electroterapia electroencefalografía
chalaza	parte firme, generalmente elástica, que une el cuerpo de un huevo con su clara	casquerón casca gema
chalaza	parte carnosa y fértil de su interior que sostiene el embrión encima, cerca del extremo de un óvulo en aves	manto placenta yolk sac
chalaza	estructura proteínica encontrada en una ooteca que aporta firmeza durante la fijación al agua	chitina
chalaza	pequeño órgano fibroso que sostiene el embrión en la cesta del huevo	yolk
chalaza	estructura fibrosa y conectante en el interior de una semilla	endocarpio exocarpio mesocarpio
chigüire	mamífero ruminante de patas cortas y hocico afilado, que habita en zona tropical densa.	ciervo ciervos antílope gacela goral cabra
chigüire	artropectoral que vive en rebaños o manadas, que tiene hocico agudo y orejas largas y puntiagudas	antílope ciervo gacela
chigüire	una especie de cérvido de américa del sur, conocido por su gran velocidad y nariz prensil	huemul huemul de darwin huemul chilote
chigüire	mamífero roedor que habita en ambientes acuáticos y terrestres de ambas américas, similar a una nutria	capybara
chigüire	un roedor grande que habita en zonas de agua dulce o salada, conocido por su gran capacidad para correr y su dentadura larga y afilada.	castor rata musaraña comadreja visón
coliseo	gran edificio con estructura interior circular, utilizado originalmente para eventos deportivos, artísticos o ceremonias públicas.	estadio arena coliseo
coliseo	grandioso edificio con una gran capacidad para acoger espectáculos públicos, como eventos deportivos o musicales	estadio arena teatro palacio de deportes auditorio
coliseo	un gran edificio antiguamente utilizado para eventos públicos, como luchas de gladiadores o festivales	coliseo amfiteatro arena
coliseo	estadio grande y monumental dedicado al deporte y el entretenimiento, con asientos para muchas personas	estadio arena coliseo hipódromo estadio de fútbol
coliseo	gran edificio de gran tamaño con asientos para espectadores, dedicado a espectáculos artísticos y otros eventos	teatro auditorio teatro de ópera salón de conciertos teatro de conciertos
conspirar	tramar un plan para llevar a cabo una acción secreta o ilícita con fin específico	conspiración complot intriga
conspirar	formar una combinación secreta entre varias personas para llevar a cabo planes ocultos o actividades ilegales	conspiración complot conjura
conspirar	tramar o preparar algo secreto para lograr un objeto sin que otros personas tengan conocimiento	conspirar conspiración intriga complot intrigar
conspirar	tramar y planear un plan secreto, con intención de lograr algo oculto o peligroso.	conspirar conspiración conspirador
conspirar	pactar secretamente con otros para lograr un fin peligroso o ilegal, generalmente contra la autoridad	conspirar conspiración complotar
corbata	pieza de vestimenta masculina que se utiliza para agregar un toque elegante a la indumentaria de trabajo o formal	corbata cinturón guantes
corbata	accesorio que se usa alrededor del cuello para adorno a un traje profesional y formal	corbata cuello escarapela
corbata	pieza de tejido que se utiliza alrededor del cuello para adornar o distinguir una prenda formal de vestir	corbata cuello escarcela camisa de cuello
corbata	pieza de adorno sujeto al cuello como símbolo de profesionalidad o para solemnizar un traje	corbata cuelga medalla placa placa de honor
corbata	accesorio de vestimiento que se utiliza para ajustar y decorar la camisa o la chaqueta en los chicos	corbata cinturón laurel galón
corralero	persona que se dedica al cuidado y crianza de animales en un corral o establo	ganadero ganadero vaquero ganadero pastor
corralero	persona que se dedica a la reproducción o comercio de ganado, especialmente vacuno	ganadero ganancha ganadero ganadería ganadero
corralero	persona que cuida o atiende a un rebaño de ganado en un corral, encargado del manejo y protección de los animales	ganadero vaquero pastor ganadero albergador
corralero	persona que se encarga de cuidar y atender a los animales en un corral o recinto al aire libre.	ganadero ganadero vaquero pastor
corralero	persona encargada de la entrada y salida de animales de un molino o recinto	portero guarda
cosmotrón	estoy desconocido con esa palabra. 	Definición no conocida.
cosmotrón	lo siento, pero no tengo información sobre el término _. es posible que sea una palabra poco común o término técnico específico que no está registrada en mi base de datos.	Definición no conocida.
cosmotrón	lo siento, pero no tengo conocimiento de la palabra _. es posible que sea un término poco común o no sea un idioma oficial.	no hay problema. ¿podrías proporcionar más contexto o detalles sobre la palabra que no conoces? de esta manera puedo ayudarte mejor.
cosmotrón	partícula subatómica cargada que se produce en grandes aceleradores de partículas	electrón proton neutrón
cosmotrón	lo siento, pero no tengo información sobre una palabra llamada _. ¿podrías proporcionarme más contexto o información sobre la palabra que estás buscando?	no hay problema, no conozco la palabra que estabas buscando. la definición instrumento de escritura que utiliza tinta y tiene una punta se ajusta a las palabras bolígrafo, pluma y estilográfica.
crístico	relativo o perteneciente a jesucristo, considerado el fundador del cristianismo	cristiano messiánico evangélico
crístico	relativo a o asociado con el cristianismo o jesucristo, especialmente en aspectos teológicos o espirituales	cristiano evangélico teológico eclesiástico religioso misionero apostólico
crístico	se refiere a un sentimiento o actitud favorable o admiradora hacia alguien o algo que se considera divino o inspirador	devoción admiración reverencia admirador devoto
crístico	relativo a o característico de la religión de jesucristo o del cristianismo	cristiano evangélico católico eclesiástico religioso teológico
crístico	 relativo a una corriente o estilo de arte, literatura o pensamiento asociado a cristo o la iglesia cristiana.	cristiano eclesiástico religioso teológico cristocéntrico eclesiástico místico
cuentapartícipe	persona que tiene participación en una sociedad o empresa sin tener un papel ejecutivo	accionista accionista minoritario accionista mayoritario accionista pasivo accionista minoritario pasivo
