word	group_known
años	False
vida	True
país	False
año	True
mundo	True
presidente	True
caso	False
forma	True
millones	True
hombre	True
nacional	True
política	True
partido	False
grupo	True
frente	True
personas	True
mujer	True
ciudad	True
social	True
sistema	True
historia	True
punto	True
noche	True
situación	True
tipo	True
agua	True
países	False
ley	True
proceso	True
mano	True
cambio	True
importante	True
realidad	True
desarrollo	True
sociedad	True
centro	True
número	False
cuerpo	True
gente	False
siglo	True
guerra	True
obra	True
padre	True
ojos	True
don	True
pueblo	True
muerte	True
público	True
problemas	True
mañana	True
madre	True
nombre	True
meses	True
hombres	False
derecho	True
problema	True
cabeza	True
hora	False
ministro	True
información	True
señor	False
mujeres	True
tierra	True
director	True
pesetas	False
manos	True
llegar	True
cosa	False
familia	True
equipo	True
casos	False
falta	False
seguridad	True
nivel	True
voz	True
iba	False
semana	True
mayoría	True
español	True
luz	True
orden	True
político	True
proyecto	True
mercado	True
internacional	True
paso	True
empresa	True
policía	True
palabras	True
fuerza	True
puesto	True
puerta	True
comisión	True
programa	False
española	True
real	True
único	True
acción	True
libro	True
interior	True
condiciones	True
calle	True
obras	True
capital	True
música	True
dios	True
fondo	True
persona	True
dinero	True
hijo	True
zona	True
tema	True
razón	True
camino	True
papel	True
vista	True
hablar	True
presencia	True
libertad	True
especial	False
actual	True
relaciones	True
servicio	True
campo	True
relación	True
minutos	True
medios	True
producción	True
movimiento	True
idea	True
julio	True
miembros	False
interés	True
alto	True
principio	False
dirección	True
arte	True
cultura	True
empresas	True
hacía	False
visto	False
puntos	True
mes	True
sector	True
población	True
difícil	False
fuerzas	False
grupos	False
imagen	True
figura	False
futuro	True
militar	True
servicios	True
espacio	True
posibilidad	True
niños	False
económica	True
economía	True
personal	True
jefe	True
carácter	True
organización	True
central	True
actividad	True
aire	True
banco	True
prensa	False
popular	True
necesario	True
justicia	True
joven	True
comunidad	False
edad	True
políticos	True
efecto	True
pública	False
cara	True
crisis	True
decisión	True
necesidad	True
duda	True
capacidad	True
estudio	True
dólares	False
ministerio	True
defensa	True
mundial	True
televisión	True
serie	False
quiero	True
sociales	True
datos	True
base	True
investigación	True
época	False
control	True
queda	False
hijos	True
pasar	False
civil	False
salud	True
paz	True
juego	True
presente	True
niño	True
resultados	True
educación	True
derechos	True
resultado	True
conjunto	True
recursos	True
atención	True
allá	False
izquierda	True
partidos	True
importancia	True
contrario	True
menor	True
pasa	False
resto	True
gracias	True
administración	True
palabra	True
seguir	False
salir	True
fuerte	True
causa	True
calidad	False
medida	True
elecciones	True
secretario	False
silencio	True
comunicación	True
libre	True
fuentes	False
parecía	True
oficial	True
cine	True
mesa	True
cabo	False
españoles	True
naturaleza	False
apoyo	True
importantes	False
común	True
económico	False
principal	True
sol	True
decía	False
energía	True
mar	True
clase	True
dejar	True
especialmente	False
experiencia	True
cantidad	True
jóvenes	True
objeto	True
rey	True
opinión	True
función	True
estudios	True
superior	True
posición	True
única	False
reunión	True
color	True
respuesta	True
trabajadores	True
radio	True
viejo	True
alta	False
sangre	True
evitar	True
elementos	True
resulta	False
partes	True
pensar	True
suelo	True
lucha	True
actividades	False
origen	True
ejército	True
boca	True
medidas	False
cargo	False
américa	True
tomar	True
autoridades	False
autor	True
hechos	True
precisamente	True
pie	True
existencia	False
ayuda	True
productos	True
régimen	False
objetivo	True
teatro	True
políticas	False
sabía	True
línea	True
quería	True
crecimiento	True
acciones	False
encuentro	True
muestra	True
natural	True
compañía	True
derecha	False
carta	False
seguro	False
momentos	False
amigos	True
artículo	True
acto	True
doctor	True
amigo	True
viene	False
formas	True
consecuencia	True
región	True
cuarto	True
ve	False
campaña	True
diario	True
norte	True
metros	False
argentina	True
deja	False
éxito	True
ambiente	True
tiempos	True
actitud	True
escuela	True
especie	True
participación	True
domingo	True
formación	True
finalmente	True
permite	False
blanco	True
marcha	True
baja	False
río	True
principales	False
espera	True
mitad	True
juez	True
sur	True
entrada	True
grande	True
cuadro	True
vivir	True
miedo	True
cambios	True
enfermedad	True
valores	False
llegado	True
mayo	True
estructura	True
negro	True
acerca	False
mira	False
ideas	False
expresión	True
santa	True
construcción	True
análisis	True
peso	True
padres	True
fácil	True
conocimiento	True
pequeño	True
tratamiento	True
democracia	True
materia	True
humanos	True
corazón	True
fecha	True
mayores	True
cuestión	True
unidad	True
diferencia	True
plazo	True
vino	True
período	True
llega	False
texto	True
efectos	True
señora	False
práctica	True
volvió	True
informe	True
puerto	True
cultural	False
socialista	True
oposición	True
carrera	True
tribunal	True
industria	True
pese	False
médico	False
volver	True
asunto	True
mirada	True
exterior	True
llamado	False
favor	False
produce	False
libros	False
enero	True
conciencia	True
atrás	True
mantener	False
cámara	True
modelo	True
electoral	False
sectores	False
diciembre	True
fuego	True
distintos	True
intereses	False
salida	False
técnica	False
ocasión	True
fiscal	True
mejores	False
comercio	True
creación	True
solución	True
vuelta	False
entrar	True
suerte	True
razones	True
aumento	True
pasó	False
principios	True
militares	False
sala	True
humano	True
ocasiones	False
revolución	True
reforma	True
precio	True
características	True
voluntad	True
aspectos	False
recuerdo	True
puso	False
capaz	True
juicio	True
encontrar	True
película	True
programas	False
zonas	False
hija	True
asimismo	False
memoria	True
prueba	True
primeras	False
junio	True
sueño	True
contenido	True
operación	True
título	True
octubre	True
cama	True
toma	False
fútbol	True
posibilidades	True
esfuerzo	True
asociación	True
temas	False
particular	True
producto	True
aspecto	True
vio	True
muerto	True
marco	True
local	True
etapa	True
pequeña	False
corte	True
profesional	True
violencia	True
armas	True
dolor	True
pone	False
ciencia	True
precios	False
presenta	False
llama	False
centros	False
pregunta	True
generales	False
jamás	False
visita	True
victoria	True
suficiente	True
semanas	True
vía	True
riesgo	True
propuesta	True
vuelve	False
busca	False
consumo	True
aparece	False
área	True
siguientes	False
grado	True
tipos	False
encuentran	False
estilo	True
concepto	True
instituciones	False
cielo	True
carne	True
instituto	True
larga	True
material	True
perdido	True
comenzó	True
deseo	True
hermano	True
lenguaje	True
dije	False
cree	False
líder	True
oro	True
humana	True
abril	True
términos	False
