word	group_known
acelguilla	False
agüista	False
antidiarreico	True
apealar	False
apparat	False
arante	False
ardilla	True
bátavo	False
bicicross	False
bifocal	False
cantautor	True
cantinero	False
cartulina	False
centavo	True
cerebrotónico	False
chalaza	False
chigüire	False
coliseo	True
conspirar	True
corbata	True
corralero	False
cosmotrón	False
crístico	False
cuentapartícipe	False
dabuti	False
dactiloscopia	True
deformabilidad	False
desinfección	True
desinsectación	True
desmitificador	True
diligentemente	False
emparejador	False
empurpurado	False
epifito	False
escorar	False
estadista	False
esteatosis	False
estuco	True
exequias	False
faisánido	False
fétido	False
floración	True
fotogramétrico	True
funcionario	True
gabato	False
garcilla	False
giroscopio	True
helenizante	True
hipogino	False
incrustar	True
intercadencia	False
jaín	False
lipotimia	False
magnolia	True
manes	False
meano	False
mediar	True
mensualizar	True
mesmerización	False
mestizo	True
minuto	True
mochalero	False
modisto	True
monásticamente	False
morra	False
nefólogo	False
novatada	False
ovni	True
pagar	True
paleteo	False
palmítico	False
paralogismo	True
pasarratos	True
perrillo	False
pezuña	True
pinabete	False
pitahaya	True
postrar	False
prédica	False
prolongador	False
provinciano	False
puzzle	True
quepis	False
raor	False
reciclado	True
rememorar	True
ridiculización	False
sagum	False
salbanda	False
socialmente	False
speed	False
standarizar	False
sublimado	False
superbomba	False
talgo	False
tornajo	False
treinta	True
tundidor	False
vega	True
verraquear	False
