word	group_known
acelguilla	False
agüista	False
antidiarreico	False
apealar	False
apparat	False
arante	False
ardilla	False
bátavo	False
bicicross	False
bifocal	True
cantautor	False
cantinero	False
cartulina	True
centavo	True
cerebrotónico	False
chalaza	False
chigüire	False
coliseo	True
conspirar	False
corbata	False
corralero	False
cosmotrón	False
crístico	False
cuentapartícipe	False
dabuti	False
dactiloscopia	False
deformabilidad	False
desinfección	True
desinsectación	False
desmitificador	False
diligentemente	False
emparejador	False
empurpurado	False
epifito	False
escorar	False
estadista	False
esteatosis	False
estuco	False
exequias	False
faisánido	False
fétido	False
floración	True
fotogramétrico	False
funcionario	False
gabato	False
garcilla	False
giroscopio	True
helenizante	False
hipogino	False
incrustar	False
intercadencia	False
jaín	False
lipotimia	False
magnolia	False
manes	False
meano	False
mediar	False
mensualizar	True
mesmerización	False
mestizo	True
minuto	False
mochalero	False
modisto	False
monásticamente	False
morra	False
nefólogo	False
novatada	False
ovni	True
pagar	False
paleteo	False
palmítico	False
paralogismo	False
pasarratos	False
perrillo	False
pezuña	False
pinabete	False
pitahaya	False
postrar	False
prédica	False
prolongador	False
provinciano	False
puzzle	True
quepis	False
raor	False
reciclado	False
rememorar	False
ridiculización	False
sagum	False
salbanda	False
socialmente	False
speed	False
standarizar	False
sublimado	False
superbomba	False
talgo	False
tornajo	False
treinta	True
tundidor	False
vega	False
verraquear	False
