word	group_known
años	False
vida	True
país	True
año	True
mundo	True
presidente	True
caso	False
forma	False
millones	False
hombre	True
nacional	True
política	True
partido	False
grupo	True
frente	True
personas	True
mujer	True
ciudad	True
social	True
sistema	True
historia	False
punto	True
noche	True
situación	True
tipo	True
agua	True
países	False
ley	True
proceso	False
mano	True
cambio	True
importante	True
realidad	True
desarrollo	True
sociedad	True
centro	True
número	True
cuerpo	True
gente	True
siglo	True
guerra	True
obra	True
padre	True
ojos	True
don	False
pueblo	True
muerte	True
público	False
problemas	True
mañana	True
madre	True
nombre	True
meses	False
hombres	False
derecho	True
problema	False
cabeza	True
hora	True
ministro	True
información	True
señor	False
mujeres	False
tierra	True
director	True
pesetas	False
manos	True
llegar	False
cosa	False
familia	True
equipo	True
casos	False
falta	False
seguridad	True
nivel	True
voz	True
iba	False
semana	True
mayoría	True
español	True
luz	True
orden	False
político	True
proyecto	True
mercado	True
internacional	False
paso	False
empresa	True
policía	True
palabras	True
fuerza	True
puesto	True
puerta	True
comisión	True
programa	True
española	False
real	True
único	True
acción	True
libro	True
interior	True
condiciones	True
calle	True
obras	False
capital	True
música	True
dios	True
fondo	False
persona	True
dinero	True
hijo	True
zona	True
tema	True
razón	True
camino	True
papel	True
vista	True
hablar	True
presencia	True
libertad	True
especial	False
actual	True
relaciones	False
servicio	False
campo	True
relación	True
minutos	False
medios	True
producción	True
movimiento	True
idea	True
julio	True
miembros	True
interés	True
alto	False
principio	False
dirección	True
arte	True
cultura	True
empresas	True
hacía	False
visto	False
puntos	False
mes	True
sector	False
población	True
difícil	False
fuerzas	False
grupos	False
imagen	True
figura	True
futuro	False
militar	True
servicios	True
espacio	True
posibilidad	False
niños	False
económica	False
economía	True
personal	True
jefe	True
carácter	True
organización	True
central	True
actividad	False
aire	True
banco	False
prensa	False
popular	True
necesario	True
justicia	True
joven	True
comunidad	True
edad	True
políticos	False
efecto	True
pública	False
cara	True
crisis	True
decisión	True
necesidad	True
duda	True
capacidad	True
estudio	True
dólares	False
ministerio	True
defensa	True
mundial	False
televisión	True
serie	True
quiero	False
sociales	True
datos	True
base	False
investigación	True
época	False
control	True
queda	False
hijos	True
pasar	True
civil	False
salud	True
paz	True
juego	True
presente	True
niño	True
resultados	True
educación	True
derechos	True
resultado	True
conjunto	True
recursos	True
atención	True
allá	False
izquierda	True
partidos	False
importancia	True
contrario	True
menor	False
pasa	False
resto	False
gracias	True
administración	True
palabra	True
seguir	False
salir	True
fuerte	False
causa	True
calidad	True
medida	True
elecciones	False
secretario	True
silencio	True
comunicación	True
libre	True
fuentes	True
parecía	False
oficial	True
cine	True
mesa	True
cabo	False
españoles	False
naturaleza	False
apoyo	True
importantes	False
común	False
económico	False
principal	False
sol	True
decía	False
energía	True
mar	True
clase	False
dejar	True
especialmente	False
experiencia	True
cantidad	True
jóvenes	True
objeto	True
rey	True
opinión	True
función	True
estudios	False
superior	True
posición	True
única	False
reunión	True
color	True
respuesta	True
trabajadores	False
radio	True
viejo	True
alta	False
sangre	True
evitar	False
elementos	True
resulta	False
partes	False
pensar	True
suelo	True
lucha	True
actividades	True
origen	False
ejército	True
boca	True
medidas	False
cargo	True
américa	True
tomar	False
autoridades	False
autor	True
hechos	False
precisamente	False
pie	True
existencia	True
ayuda	True
productos	True
régimen	False
objetivo	False
teatro	True
políticas	True
sabía	False
línea	True
quería	False
crecimiento	True
acciones	True
encuentro	False
muestra	False
natural	True
compañía	False
derecha	False
carta	True
seguro	False
momentos	True
amigos	False
artículo	True
acto	False
doctor	True
amigo	True
viene	False
formas	True
consecuencia	True
región	True
cuarto	True
ve	False
campaña	True
diario	True
norte	True
metros	False
argentina	True
deja	True
éxito	False
ambiente	True
tiempos	False
actitud	True
escuela	True
especie	False
participación	True
domingo	True
formación	False
finalmente	False
permite	False
blanco	False
marcha	True
baja	False
río	True
principales	False
espera	False
mitad	False
juez	True
sur	False
entrada	True
grande	True
cuadro	False
vivir	False
miedo	True
cambios	False
enfermedad	True
valores	True
llegado	True
mayo	True
estructura	True
negro	True
acerca	False
mira	True
ideas	True
expresión	True
santa	True
construcción	True
análisis	True
peso	True
padres	True
fácil	False
conocimiento	True
pequeño	True
tratamiento	True
democracia	True
materia	True
humanos	True
corazón	True
fecha	True
mayores	True
cuestión	False
unidad	True
diferencia	True
plazo	True
vino	True
período	True
llega	False
texto	True
efectos	False
señora	True
práctica	True
volvió	True
informe	True
puerto	True
cultural	True
socialista	True
oposición	False
carrera	False
tribunal	True
industria	True
pese	False
médico	True
volver	True
asunto	False
mirada	True
exterior	True
llamado	False
favor	True
produce	True
libros	True
enero	True
conciencia	True
atrás	False
mantener	True
cámara	True
modelo	True
electoral	True
sectores	False
diciembre	True
fuego	False
distintos	False
intereses	True
salida	False
técnica	True
ocasión	False
fiscal	True
mejores	False
comercio	True
creación	True
solución	True
vuelta	False
entrar	True
suerte	False
razones	False
aumento	True
pasó	False
principios	True
militares	False
sala	True
humano	True
ocasiones	False
revolución	True
reforma	True
precio	True
características	True
voluntad	True
aspectos	False
recuerdo	False
puso	False
capaz	True
juicio	True
encontrar	False
película	True
programas	False
zonas	False
hija	True
asimismo	False
memoria	True
prueba	True
primeras	True
junio	True
sueño	True
contenido	True
operación	False
título	True
octubre	True
cama	True
toma	False
fútbol	True
posibilidades	False
esfuerzo	True
asociación	False
temas	False
particular	False
producto	True
aspecto	True
vio	False
muerto	True
marco	True
local	True
etapa	True
pequeña	False
corte	False
profesional	True
violencia	True
armas	True
dolor	True
pone	False
ciencia	True
precios	False
presenta	False
llama	True
centros	True
pregunta	True
generales	True
jamás	False
visita	False
victoria	True
suficiente	True
semanas	False
vía	True
riesgo	True
propuesta	False
vuelve	False
busca	True
consumo	True
aparece	False
área	True
siguientes	False
grado	True
tipos	False
encuentran	False
estilo	True
concepto	True
instituciones	True
cielo	True
carne	True
instituto	True
larga	False
material	True
perdido	True
comenzó	False
deseo	True
hermano	True
lenguaje	True
dije	False
cree	False
líder	True
oro	True
humana	True
abril	True
términos	False
