word	group_known
acelguilla	False
agüista	False
antidiarreico	False
apealar	False
apparat	False
arante	False
ardilla	True
bátavo	False
bicicross	False
bifocal	False
cantautor	True
cantinero	True
cartulina	True
centavo	True
cerebrotónico	False
chalaza	False
chigüire	False
coliseo	True
conspirar	True
corbata	True
corralero	False
cosmotrón	False
crístico	False
cuentapartícipe	False
dabuti	False
dactiloscopia	True
deformabilidad	False
desinfección	True
desinsectación	True
desmitificador	False
diligentemente	False
emparejador	True
empurpurado	False
epifito	False
escorar	False
estadista	False
esteatosis	True
estuco	True
exequias	False
faisánido	False
fétido	False
floración	True
fotogramétrico	False
funcionario	True
gabato	False
garcilla	False
giroscopio	True
helenizante	False
hipogino	False
incrustar	False
intercadencia	False
jaín	False
lipotimia	False
magnolia	False
manes	False
meano	False
mediar	True
mensualizar	False
mesmerización	False
mestizo	True
minuto	True
mochalero	False
modisto	False
monásticamente	False
morra	True
nefólogo	False
novatada	False
ovni	True
pagar	True
paleteo	False
palmítico	False
paralogismo	False
pasarratos	True
perrillo	False
pezuña	True
pinabete	False
pitahaya	False
postrar	False
prédica	False
prolongador	False
provinciano	False
puzzle	True
quepis	False
raor	False
reciclado	True
rememorar	False
ridiculización	False
sagum	False
salbanda	False
socialmente	False
speed	False
standarizar	False
sublimado	False
superbomba	False
talgo	False
tornajo	False
treinta	True
tundidor	False
vega	False
verraquear	False
