word	group_known
año	True
país	True
ver	True
caso	True
vida	True
hombre	True
forma	True
pasar	True
decir	True
presidente	True
hacer	True
mujer	True
mundo	True
querer	True
llegar	True
español	True
dejar	True
nacional	True
partido	True
persona	True
grupo	True
público	True
quedar	True
ir	True
mano	True
punto	True
millón	True
problema	True
dar	True
social	True
política	True
político	True
obra	True
salir	True
ciudad	True
encontrar	True
volver	True
seguir	False
pensar	True
sistema	True
importante	True
tipo	True
mes	True
económico	True
agua	True
cambio	True
derecho	True
alto	False
situación	True
frente	True
hablar	True
noche	True
poner	True
tomar	True
empresa	True
historia	True
padre	True
venir	False
fuerza	False
proceso	True
centro	True
relación	True
único	True
vivir	True
parecer	True
esperar	True
servicio	True
producir	True
palabra	True
pueblo	True
hijo	True
mantener	True
pequeño	True
cuerpo	True
permitir	True
siglo	True
nombre	True
mirar	True
sociedad	True
llevar	True
presentar	True
llamar	True
acción	True
ojo	True
creer	True
puesto	True
humano	True
niño	True
número	True
él	True
gente	True
ministro	True
semana	True
realidad	True
nivel	False
tierra	True
libro	True
programa	True
equipo	True
joven	True
resultado	True
desarrollo	True
proyecto	True
guerra	True
recordar	True
saber	False
actividad	True
razón	True
necesario	True
familia	True
estudio	True
zona	True
idea	True
tema	True
muerte	True
entrar	True
madre	True
internacional	True
condición	True
paso	True
interés	True
comenzar	True
principio	True
cabeza	True
calle	True
mañana	True
señor	True
información	True
sector	True
voz	True
don	True
buscar	True
sentir	True
puerta	True
medida	True
militar	True
efecto	True
director	True
movimiento	True
preguntar	True
posibilidad	True
mercado	True
empezar	True
viejo	True
fondo	True
orden	True
pedir	True
luz	True
resultar	True
aparecer	True
tratar	False
policía	True
peseta	True
hora	True
real	True
principal	True
imagen	True
miembro	True
llamado	False
blanco	True
recibir	True
actual	True
papel	True
amigo	True
especial	True
falta	True
comisión	True
campo	True
necesidad	True
cosa	True
camino	True
organización	True
seguridad	True
minuto	True
negro	True
comunidad	True
figura	False
acabar	False
europeo	True
capital	True
banco	True
decisión	True
producto	True
mayoría	True
perder	True
espacio	True
interior	True
servir	True
futuro	True
fuente	True
función	True
personal	False
oficial	True
investigación	True
popular	True
juego	True
objetivo	True
duda	True
libertad	True
base	True
clase	True
abrir	True
contar	True
arte	True
medio	True
lograr	True
conocer	True
difícil	True
pie	True
ocasión	False
ocurrir	True
objeto	True
elección	True
central	True
ofrecer	True
menor	True
jefe	True
causa	True
población	True
cultura	True
presente	False
música	True
dio	False
producción	True
médico	True
recurso	False
autor	True
dinero	True
línea	True
dirección	True
aspecto	True
precio	True
fuerte	True
muerto	True
color	True
convertir	False
santo	True
vista	True
presencia	True
distinto	True
considerar	True
asunto	True
autoridad	True
resto	True
civil	True
elemento	True
cara	True
consecuencia	True
acto	True
visto	False
carácter	True
gustar	True
dólar	True
diario	True
posición	True
peso	True
dato	False
argentino	True
julio	True
francés	True
gracia	True
hecho	False
natural	True
economía	True
común	True
caer	True
conocido	True
edad	True
cambiar	True
época	True
superior	True
conjunto	True
libre	True
experiencia	True
rey	True
especie	True
región	True
seguro	True
alcanzar	True
mostrar	True
llegado	True
comunicación	True
carta	True
capacidad	True
cumplir	True
serie	True
reunión	True
técnica	True
antiguo	True
mundial	True
contrario	True
término	True
entender	True
obtener	True
control	True
cargo	True
socialista	True
enfermedad	True
cantidad	True
opinión	True
referir	False
defensa	True
profesional	True
suponer	True
prueba	True
respuesta	True
utilizar	True
ganar	True
aire	True
terminar	True
jugar	True
artículo	False
prensa	True
cuarto	True
justicia	True
poder	True
privado	True
local	True
abierto	True
físico	True
crisis	True
malo	False
cuadro	False
evitar	True
realizar	True
mesa	True
operación	True
compañía	False
ministerio	True
unidad	True
televisión	True
izquierda	True
escribir	True
norteamericano	True
exterior	True
cuestión	True
área	True
administración	True
continuar	True
juez	True
material	True
largo	True
paciente	True
institución	True
salud	True
escuela	True
cultural	True
paz	True
trabajador	True
película	True
decidir	True
establecer	True
morir	True
estructura	True
metro	True
necesitar	True
educación	True
energía	True
ayuda	True
actitud	True
esfuerzo	True
nación	True
silencio	True
muestra	True
texto	True
conocimiento	True
histórico	True
responder	False
constituir	False
atención	True
allá	True
importancia	True
apoyo	True
científico	True
explicar	True
encuentro	True
formar	False
modelo	True
origen	True
hermano	True
declaración	True
suelo	True
extranjero	True
calidad	True
capaz	True
lucha	True
práctica	True
título	True
secretario	True
determinado	False
ciencia	True
brazo	False
máximo	True
bajo	True
escrito	True
solución	True
cine	True
animal	True
campaña	True
iniciar	True
propuesta	True
cabo	True
sueño	True
río	True
fecha	True
contenido	True
naturaleza	True
grave	True
ejército	True
sol	True
mar	True
especialmente	False
reforma	True
informe	True
materia	True
motivo	True
personaje	True
régimen	False
duro	True
electoral	True
interno	True
entrada	True
marco	True
éxito	True
señal	True
correr	True
incluir	True
carrera	True
expresión	True
concepto	True
organismo	True
vuelta	True
pobre	True
radio	True
sangre	True
domingo	True
particular	True
vía	True
ambiente	True
dirigente	True
familiar	False
corte	False
parte	True
soler	False
reconocer	True
formación	True
fiscal	False
diputado	True
característica	True
crear	True
cámara	True
responsable	True
democrático	True
representar	True
dolor	True
factor	True
tribunal	True
boca	True
mínimo	True
doctor	True
tercero	True
afirmar	True
américa	True
período	True
documento	True
planta	True
grado	True
arma	True
precisamente	True
técnico	False
señalar	True
existencia	True
ciudadano	True
jugador	True
líder	True
industria	True
suficiente	True
tratamiento	True
teatro	True
directo	True
mirada	True
aumentar	True
asociación	True
lleno	True
dispuesto	True
construcción	True
etapa	True
crecimiento	True
dirigir	True
actuar	True
puerto	True
deseo	True
sala	True
noticia	True
perdido	True
riesgo	True
plazo	True
derecha	True
asegurar	True
representante	True
momento	True
amplio	True
sacar	True
industrial	True
propiedad	True
funcionario	True
vino	True
claro	True
fácil	True
rojo	True
levantar	True
hija	True
escuchar	True
profundo	True
observar	True
inversión	True
leer	True
desarrollar	True
señora	True
norte	True
candidato	True
salida	True
sufrir	True
frío	True
tiempo	True
pleno	False
ejecutivo	False
participación	True
visita	True
página	True
juicio	True
finalmente	True
marcha	True
comercial	True
fundamental	True
municipal	True
armado	False
alemán	True
mitad	True
voto	True
sur	True
significar	False
grande	False
periodista	True
participar	True
responsabilidad	True
curso	True
aumento	True
dicho	False
crítica	True
miedo	True
terreno	True
oportunidad	True
contacto	True
existir	True
tarea	True
simple	True
comercio	True
pagar	True
valor	True
mayo	True
maestro	True
financiero	False
acerca	False
anunciar	True
memoria	True
conflicto	True
análisis	True
venta	True
presión	True
democracia	True
vecino	True
periódico	True
corazón	True
compañero	True
pretender	True
mayor	True
inmediato	True
golpe	True
mexicano	True
diferenciar	True
cama	True
profesor	True
carne	True
ocupar	True
completo	True
isla	True
negocio	True
estudiar	True
oposición	True
pese	False
declarar	True
aceptar	True
secreto	True
teoría	True
suceder	True
sujeto	True
favor	True
extremo	True
hospital	True
enero	True
artista	True
destacar	True
conciencia	True
atrás	True
rostro	True
dificultad	True
fenómeno	True
circunstancia	True
demanda	True
victoria	True
pensamiento	True
novela	True
estilo	True
lengua	True
diciembre	True
fuego	True
ingreso	True
preciso	True
provocar	True
mejor	True
creación	True
altura	True
adecuado	True
ejercicio	True
lista	True
concreto	True
previsto	True
negociación	True
error	True
indicar	True
suerte	True
club	True
método	True
enorme	True
corto	True
capítulo	True
demostrar	True
guardia	True
revolución	True
norma	True
cielo	True
voluntad	True
corresponder	False
sitio	True
edificio	True
departamento	True
traer	True
seguido	False
coche	True
herido	True
cifra	True
criterio	True
